#cycle        mu      sigmatransactionsmax interactions
   10 1.09973000 0.16997793  9978574       46
   20 1.04985750 0.21087048  9978736       47
   30 1.03326333 0.22403505  9978792       44
   40 1.02492750 0.23055862  9978231       43
   50 1.01999400 0.23456324  9978872       45
   60 1.01666167 0.23761606  9978472       43
   70 1.01428071 0.23946670  9978696       44
   80 1.01251875 0.24133603  9978406       45
   90 1.01114667 0.24103347  9978864       43
  100 1.01002800 0.24235789  9978612       44
  110 1.00912773 0.24311782  9978483       44
  120 1.00834917 0.24420437  9978773       44
  130 1.00770885 0.24485942  9978540       43
  140 1.00715964 0.24505585  9978858       42
  150 1.00667600 0.24483046  9978591       43
  160 1.00625188 0.24514973  9978539       43
  170 1.00587824 0.24553298  9978847       43
  180 1.00554500 0.24605695  9978953       45
  190 1.00525026 0.24659583  9978452       43
  200 1.00498675 0.24669793  9978933       43
  210 1.00475286 0.24700658  9978530       44
  220 1.00455295 0.24710820  9978523       44
  230 1.00435543 0.24716960  9978751       46
  240 1.00416979 0.24722557  9978737       44
  250 1.00399940 0.24755922  9978724       43
  260 1.00384808 0.24757746  9978849       46
  270 1.00371167 0.24776793  9978756       42
  280 1.00358214 0.24761654  9978687       43
  290 1.00345414 0.24765116  9978787       44
  300 1.00333783 0.24782961  9978891       45
  310 1.00323355 0.24804924  9978637       45
  320 1.00313562 0.24819095  9978763       43
  330 1.00304545 0.24825974  9978902       43
  340 1.00295868 0.24827801  9978800       45
  350 1.00287486 0.24822024  9978367       45
  360 1.00279181 0.24834573  9978689       44
  370 1.00270527 0.24846034  9978641       43
  380 1.00263276 0.24836319  9978948       44
  390 1.00257141 0.24841784  9978826       46
  400 1.00250600 0.24857432  9978529       47
  410 1.00244695 0.24854371  9978494       44
  420 1.00238857 0.24854108  9978886       44
  430 1.00233895 0.24864610  9979093       46
  440 1.00228443 0.24859343  9978895       46
  450 1.00223156 0.24860514  9978871       48
  460 1.00218239 0.24857141  9978443       44
  470 1.00213330 0.24868582  9978790       47
  480 1.00208427 0.24872454  9978680       46
