#cycle        mu      sigmatransactionsmax interactions
   10 1.10025000 0.40932244  8892564       39
   20 1.05006000 0.45054750  8893271       40
   30 1.03341500 0.45911210  8893630       40
   40 1.02501875 0.46643256  8896658       42
   50 1.02000400 0.47208144  8895431       38
   60 1.01667750 0.47684161  8891441       41
   70 1.01429286 0.47853921  8896497       40
   80 1.01252375 0.48036759  8896458       41
   90 1.01112611 0.48192877  8896910       39
  100 1.01001500 0.48163200  8894667       41
  110 1.00908455 0.48159270  8896571       41
  120 1.00830875 0.48204888  8893697       39
  130 1.00765692 0.48249095  8896336       41
  140 1.00709821 0.48160954  8892564       40
  150 1.00661433 0.48172125  8895994       42
  160 1.00618687 0.48207657  8897178       41
  170 1.00581118 0.48218429  8895230       41
  180 1.00548694 0.48126934  8892367       40
  190 1.00522395 0.48134776  8894976       42
  200 1.00497375 0.48071761  8894156       41
  210 1.00473190 0.48204732  8895118       46
  220 1.00452114 0.48255022  8898146       43
  230 1.00433391 0.48317676  8890670       45
  240 1.00414542 0.48369434  8893003       40
  250 1.00397580 0.48399225  8893360       41
  260 1.00381519 0.48435981  8895508       42
  270 1.00367519 0.48442173  8894584       44
  280 1.00354304 0.48438007  8900058       40
  290 1.00341862 0.48467199  8895476       40
  300 1.00329533 0.48453201  8891523       41
  310 1.00318758 0.48409558  8896682       41
  320 1.00308437 0.48417241  8898943       39
  330 1.00299227 0.48386115  8895123       39
  340 1.00290309 0.48421975  8894536       44
  350 1.00281714 0.48471078  8893963       40
  360 1.00274153 0.48482250  8896124       42
  370 1.00267068 0.48530227  8893996       40
  380 1.00260013 0.48557506  8895231       46
  390 1.00253731 0.48530696  8897692       42
  400 1.00247950 0.48492751  8895666       40
  410 1.00241476 0.48471340  8893717       40
  420 1.00236179 0.48439662  8893369       41
  430 1.00230849 0.48449131  8892316       39
  440 1.00225432 0.48455109  8895000       41
  450 1.00221167 0.48452551  8898245       40
  460 1.00216598 0.48494309  8894051       40
  470 1.00211851 0.48503424  8897041       39
  480 1.00207125 0.48508154  8896173       42
  490 1.00203235 0.48501029  8898630       39
  500 1.00199110 0.48505047  8895523       41
  510 1.00194206 0.48509426  8894765       41
  520 1.00190731 0.48518991  8893033       40
