#cycle        mu      sigmatransactionsmax interactions
   10 1.10012000 0.16019549  9956041       43
   20 1.05004750 0.20926975  9955686       46
   30 1.03336333 0.22420189  9955556       44
   40 1.02490375 0.23056430  9955694       43
   50 1.01994400 0.23502974  9955751       45
   60 1.01664167 0.23860714  9955914       45
   70 1.01428071 0.24074313  9956000       47
   80 1.01249625 0.24278428  9956285       45
   90 1.01114389 0.24358337  9955682       45
  100 1.01002750 0.24397455  9955664       45
  110 1.00914091 0.24420885  9955917       45
  120 1.00838167 0.24458221  9955950       44
  130 1.00773846 0.24491415  9955801       45
  140 1.00720250 0.24522202  9956345       43
  150 1.00672400 0.24588445  9955582       43
  160 1.00630812 0.24639361  9955815       45
  170 1.00592824 0.24668333  9955855       43
  180 1.00560111 0.24731563  9955036       47
  190 1.00531105 0.24743645  9956074       42
  200 1.00504775 0.24724710  9956139       50
  210 1.00481690 0.24749620  9955662       45
  220 1.00459659 0.24763489  9956227       45
  230 1.00440261 0.24785525  9955600       43
  240 1.00421604 0.24813354  9955784       46
  250 1.00404640 0.24825585  9955901       47
  260 1.00388904 0.24846055  9955548       46
  270 1.00374315 0.24850401  9955207       47
  280 1.00361089 0.24875239  9955634       46
  290 1.00348448 0.24889215  9955527       45
  300 1.00336967 0.24881746  9956379       43
  310 1.00326774 0.24898916  9955893       42
  320 1.00315797 0.24896154  9955061       44
  330 1.00306076 0.24908219  9955662       43
  340 1.00297368 0.24936422  9955846       46
  350 1.00288529 0.24944323  9955925       44
  360 1.00280194 0.24940333  9955133       45
  370 1.00272324 0.24932454  9955773       44
  380 1.00265553 0.24939555  9956587       43
  390 1.00258526 0.24926580  9956139       44
  400 1.00252213 0.24950109  9955553       45
  410 1.00245817 0.24959719  9956225       45
  420 1.00240500 0.24965924  9956096       42
  430 1.00234767 0.24976264  9955796       44
  440 1.00229670 0.24978299  9955425       43
  450 1.00224489 0.24988142  9955528       43
  460 1.00219163 0.24997515  9955415       45
  470 1.00214553 0.24998975  9955853       43
  480 1.00210010 0.24998187  9955458       43
  490 1.00205653 0.24996209  9955768       46
  500 1.00201440 0.24994460  9955922       45
  510 1.00197598 0.24996200  9956174       47
  520 1.00193817 0.24986022  9956272       46
  530 1.00190236 0.24975922  9955594       43
  540 1.00186694 0.24958690  9955539       44
  550 1.00183273 0.24959269  9955716       46
  560 1.00179938 0.24968746  9956149       45
  570 1.00176991 0.24977066  9956330       44
  580 1.00173810 0.24972247  9955789       44
  590 1.00170525 0.24973896  9955498       46
  600 1.00167592 0.24971312  9956471       45
  610 1.00164869 0.24967949  9955974       44
  620 1.00162234 0.24961239  9956081       45
  630 1.00159611 0.24966964  9956002       42
  640 1.00157273 0.24964385  9956278       44
  650 1.00155008 0.24951873  9955176       44
  660 1.00152364 0.24947422  9955740       44
  670 1.00149963 0.24951020  9954903       46
  680 1.00147897 0.24950829  9956178       43
  690 1.00145319 0.24950839  9955495       45
  700 1.00143586 0.24952925  9955510       42
  710 1.00141549 0.24962635  9955241       45
  720 1.00139500 0.24955682  9955747       44
  730 1.00137527 0.24946464  9955942       43
  740 1.00135493 0.24953375  9955794       44
  750 1.00133360 0.24944945  9955691       45
  760 1.00131520 0.24953268  9955956       45
  770 1.00130325 0.24948571  9955392       43
  780 1.00128750 0.24949973  9955236       43
  790 1.00126633 0.24953712  9955630       44
  800 1.00125062 0.24954031  9956345       44
  810 1.00123488 0.24950715  9955135       44
  820 1.00121884 0.24948285  9955788       44
  830 1.00120217 0.24951960  9955959       43
  840 1.00118673 0.24950723  9955956       43
  850 1.00116941 0.24949506  9955303       46
  860 1.00115459 0.24951359  9955405       45
  870 1.00114178 0.24956878  9955808       45
  880 1.00113182 0.24960928  9955117       43
  890 1.00111792 0.24954696  9955946       44
  900 1.00110572 0.24960484  9955503       44
  910 1.00109330 0.24967332  9955641       42
  920 1.00107918 0.24964468  9955518       44
  930 1.00106634 0.24967640  9955777       43
  940 1.00105473 0.24971469  9955955       45
  950 1.00104221 0.24984781  9955314       45
  960 1.00102896 0.24986028  9955955       47
  970 1.00101830 0.24982699  9955806       43
  980 1.00100878 0.24982746  9955184       45
  990 1.00099763 0.24981685  9956045       44
 1000 1.00098590 0.24982176  9955280       45
 1010 1.00097436 0.24981107  9955756       42
 1020 1.00096466 0.24981851  9956071       44
 1030 1.00095442 0.24980156  9955533       45
 1040 1.00094399 0.24978536  9955264       46
 1050 1.00093724 0.24971583  9955388       43
 1060 1.00092741 0.24970151  9955813       46
 1070 1.00091963 0.24971372  9955659       43
 1080 1.00090981 0.24977186  9955986       44
 1090 1.00089839 0.24976895  9955358       42
 1100 1.00088945 0.24973500  9955589       44
 1110 1.00088176 0.24971106  9954884       43
 1120 1.00087375 0.24962232  9956015       44
 1130 1.00086588 0.24962059  9956369       44
 1140 1.00085618 0.24957998  9955735       44
 1150 1.00084817 0.24953726  9955249       43
 1160 1.00084241 0.24953082  9955976       43
 1170 1.00083462 0.24954223  9954901       44
 1180 1.00082657 0.24955908  9955332       43
 1190 1.00082189 0.24964060  9955822       43
 1200 1.00081496 0.24960902  9956013       47
 1210 1.00080769 0.24960307  9955794       45
 1220 1.00080172 0.24959079  9955279       46
 1230 1.00079593 0.24959885  9955388       44
 1240 1.00079056 0.24964792  9955878       44
 1250 1.00078468 0.24965090  9955201       45
 1260 1.00077960 0.24960936  9955807       45
 1270 1.00077339 0.24959155  9956234       47
 1280 1.00076863 0.24963212  9955538       44
 1290 1.00076174 0.24960438  9955646       43
 1300 1.00075762 0.24961967  9955691       43
 1310 1.00075294 0.24959995  9955801       49
 1320 1.00074712 0.24963209  9955994       44
 1330 1.00074060 0.24963469  9955980       44
 1340 1.00073470 0.24965561  9955228       43
 1350 1.00073007 0.24963855  9955999       46
 1360 1.00072279 0.24960123  9955950       44
 1370 1.00071661 0.24959741  9955454       44
 1380 1.00071156 0.24957671  9955985       44
 1390 1.00070701 0.24957223  9956255       44
 1400 1.00070229 0.24961276  9955291       45
 1410 1.00069762 0.24959731  9955313       46
 1420 1.00069204 0.24959595  9955671       44
 1430 1.00068647 0.24958702  9955426       45
 1440 1.00068431 0.24958717  9955368       50
 1450 1.00067990 0.24961585  9955860       45
 1460 1.00067726 0.24963279  9956357       44
 1470 1.00067214 0.24962193  9955852       44
 1480 1.00066814 0.24960632  9955603       48
 1490 1.00066440 0.24959683  9955467       44
 1500 1.00065930 0.24959950  9956260       46
 1510 1.00065613 0.24960040  9955534       43
 1520 1.00065197 0.24959283  9954913       44
 1530 1.00064814 0.24963223  9955667       45
 1540 1.00064396 0.24965076  9955842       44
 1550 1.00063916 0.24962729  9955628       46
 1560 1.00063494 0.24961764  9955280       44
 1570 1.00063159 0.24960566  9955317       42
 1580 1.00062778 0.24956868  9955777       46
 1590 1.00062368 0.24956487  9956017       44
 1600 1.00062153 0.24954966  9956138       44
 1610 1.00061798 0.24954484  9955698       46
 1620 1.00061370 0.24954281  9955539       46
 1630 1.00060883 0.24950590  9956219       43
 1640 1.00060509 0.24948865  9955083       44
 1650 1.00060124 0.24948570  9955735       46
 1660 1.00059880 0.24948875  9955388       44
 1670 1.00059434 0.24950227  9956002       44
 1680 1.00059080 0.24951927  9956450       46
 1690 1.00058825 0.24953835  9955142       45
 1700 1.00058421 0.24951828  9955479       45
 1710 1.00058222 0.24952001  9955342       43
 1720 1.00057794 0.24952504  9955697       44
 1730 1.00057454 0.24953734  9955680       46
 1740 1.00057000 0.24955207  9955702       42
 1750 1.00056723 0.24952096  9955422       46
 1760 1.00056500 0.24950687  9955269       45
 1770 1.00056350 0.24954619  9956286       45
 1780 1.00056048 0.24957582  9955883       44
 1790 1.00055589 0.24960652  9955792       44
 1800 1.00055386 0.24960506  9955465       45
 1810 1.00055011 0.24963761  9955193       43
 1820 1.00054783 0.24967177  9955310       46
 1830 1.00054497 0.24968489  9955628       43
 1840 1.00054071 0.24970124  9956253       44
 1850 1.00053722 0.24972820  9955711       43
 1860 1.00053384 0.24971932  9955490       44
 1870 1.00053048 0.24974450  9956276       45
 1880 1.00052699 0.24975179  9954798       43
 1890 1.00052415 0.24975620  9956558       45
 1900 1.00052166 0.24973786  9955593       46
 1910 1.00051843 0.24974180  9955600       45
 1920 1.00051443 0.24974493  9955682       46
 1930 1.00051272 0.24978004  9956300       44
 1940 1.00051036 0.24977577  9955373       47
 1950 1.00050723 0.24975205  9955723       45
 1960 1.00050413 0.24976607  9955995       43
 1970 1.00049987 0.24980102  9955808       44
 1980 1.00049803 0.24983235  9955985       43
 1990 1.00049691 0.24982234  9955379       43
