#cycle        mu      sigmatransactionsmax interactions
   10 1.10021500 0.98845095  9903555       42
   20 1.05017750 0.98615347  9903287       43
   30 1.03351833 0.98798285  9903808       44
   40 1.02515375 0.98620429  9903620       43
   50 1.02020700 0.98487028  9903311       44
   60 1.01687000 0.97960540  9903281       44
   70 1.01447357 0.98315316  9903573       43
   80 1.01269063 0.98452939  9903873       43
   90 1.01129833 0.98497246  9903231       43
  100 1.01016900 0.98584819  9903170       45
  110 1.00929182 0.98822489  9903478       47
  120 1.00852917 0.98806138  9904226       47
  130 1.00786923 0.98776192  9903498       46
  140 1.00731214 0.98680407  9904347       43
  150 1.00682367 0.98635857  9903300       44
  160 1.00639906 0.98392615  9902896       44
  170 1.00602588 0.98441072  9903408       43
  180 1.00571944 0.98497151  9903738       47
  190 1.00542105 0.98561916  9903664       43
  200 1.00516400 0.98396946  9903721       43
  210 1.00491548 0.98485458  9903993       43
  220 1.00470568 0.98533467  9902837       46
  230 1.00451891 0.98673341  9903339       46
  240 1.00433292 0.98637600  9903466       44
  250 1.00416720 0.98559215  9903755       44
  260 1.00401442 0.98491073  9903443       45
  270 1.00388315 0.98624368  9903287       49
  280 1.00374982 0.98583830  9903449       45
  290 1.00363655 0.98647000  9903166       45
  300 1.00353083 0.98564295  9903494       45
  310 1.00343452 0.98527095  9904083       44
  320 1.00332734 0.98709776  9903795       44
  330 1.00323652 0.98660884  9903201       45
  340 1.00315015 0.98572061  9902732       44
  350 1.00306186 0.98613914  9903484       45
  360 1.00298250 0.98655412  9903455       47
  370 1.00291027 0.98696492  9903045       43
  380 1.00283750 0.98704183  9903214       43
  390 1.00276808 0.98656244  9903826       45
  400 1.00270362 0.98697835  9903560       42
  410 1.00264402 0.98649027  9903649       47
  420 1.00258702 0.98764146  9903618       47
  430 1.00253535 0.98789198  9902995       46
  440 1.00247955 0.98814776  9903928       43
  450 1.00242456 0.98815234  9903386       45
  460 1.00237967 0.98824027  9903589       45
  470 1.00233766 0.98832621  9904099       48
  480 1.00229979 0.98880325  9903457       43
  490 1.00225541 0.98925026  9903660       42
  500 1.00221590 0.98992649  9903567       43
  510 1.00217284 0.98939839  9903610       47
  520 1.00212817 0.98969030  9903890       46
  530 1.00209189 0.98950138  9903356       45
  540 1.00205667 0.98947008  9904372       46
  550 1.00202164 0.98871386  9903404       43
  560 1.00199170 0.98971049  9903025       44
  570 1.00196018 0.99025148  9903052       43
  580 1.00192578 0.98993752  9903996       45
  590 1.00190059 0.98982501  9903863       45
  600 1.00187242 0.98999624  9903985       43
