#cycle        mu      sigmatransactionsmax interactions
   10 1.09991000 0.19357549  9768170       48
   20 1.05001000 0.23709250  9767877       45
   30 1.03338333 0.25103072  9766495       47
   40 1.02500500 0.25635375  9768539       45
   50 1.01999900 0.25944744  9766803       43
   60 1.01664667 0.26276831  9767372       44
   70 1.01428929 0.26440989  9768037       44
   80 1.01250125 0.26639484  9768505       44
   90 1.01111722 0.26803385  9767726       46
  100 1.01001550 0.26934779  9767465       45
  110 1.00911818 0.26992640  9767450       45
  120 1.00835417 0.27023867  9766598       44
  130 1.00771115 0.27044850  9767768       43
  140 1.00716857 0.27086486  9768329       44
  150 1.00669100 0.27181466  9767198       47
  160 1.00626906 0.27208079  9767703       43
  170 1.00589647 0.27213788  9767340       45
  180 1.00557083 0.27279660  9767634       43
  190 1.00528316 0.27282990  9767492       44
  200 1.00502600 0.27305684  9768047       42
  210 1.00478548 0.27330277  9767741       46
  220 1.00456432 0.27317721  9766582       42
  230 1.00436391 0.27356991  9767919       42
  240 1.00417813 0.27383275  9767401       44
  250 1.00401400 0.27373735  9767617       44
  260 1.00385788 0.27385658  9768151       44
  270 1.00371370 0.27397234  9767115       42
  280 1.00358429 0.27402117  9767638       42
  290 1.00345017 0.27445039  9767626       42
  300 1.00332967 0.27451101  9767392       43
  310 1.00322065 0.27479585  9767680       44
  320 1.00311844 0.27478456  9767366       43
  330 1.00302924 0.27493888  9767659       44
  340 1.00293765 0.27479371  9766621       44
  350 1.00284871 0.27497056  9768005       43
  360 1.00277292 0.27500210  9767999       42
  370 1.00270041 0.27497178  9766738       41
  380 1.00262474 0.27524660  9767943       43
  390 1.00255987 0.27528695  9767224       42
  400 1.00249588 0.27523847  9766098       45
  410 1.00244122 0.27532530  9767923       42
  420 1.00238155 0.27540022  9767236       44
  430 1.00232547 0.27555998  9768893       44
  440 1.00226807 0.27559334  9767072       43
  450 1.00221856 0.27547787  9767103       43
  460 1.00216511 0.27540187  9767987       43
  470 1.00211894 0.27554991  9767394       44
  480 1.00207042 0.27560514  9767396       42
  490 1.00202908 0.27566111  9767320       45
  500 1.00198630 0.27569947  9767745       48
  510 1.00194461 0.27576259  9767185       45
  520 1.00190712 0.27600279  9767034       43
  530 1.00187509 0.27611497  9767196       47
  540 1.00183954 0.27612693  9766993       46
  550 1.00180418 0.27617163  9767959       41
  560 1.00176759 0.27626244  9767879       43
  570 1.00173254 0.27644550  9767654       44
  580 1.00169948 0.27643677  9768129       43
  590 1.00166881 0.27645019  9766596       43
  600 1.00164225 0.27631536  9767241       44
  610 1.00161090 0.27654832  9767376       43
  620 1.00158677 0.27653093  9767449       41
  630 1.00155802 0.27645726  9767700       47
  640 1.00153195 0.27657654  9767558       46
  650 1.00151085 0.27642940  9768117       42
  660 1.00149008 0.27634590  9767934       45
  670 1.00146328 0.27628343  9767462       45
  680 1.00144184 0.27626305  9767248       45
  690 1.00141870 0.27631799  9767698       42
  700 1.00140050 0.27640508  9768287       44
  710 1.00138000 0.27641113  9768164       45
  720 1.00136007 0.27648194  9766673       42
  730 1.00134500 0.27648485  9767869       43
  740 1.00132486 0.27649201  9767152       44
  750 1.00130813 0.27651526  9767323       44
  760 1.00129243 0.27651353  9767149       43
  770 1.00127506 0.27650189  9768009       41
  780 1.00125718 0.27643263  9767614       42
  790 1.00124367 0.27647685  9767557       41
  800 1.00123125 0.27648497  9768022       43
  810 1.00121605 0.27647645  9768466       43
  820 1.00120220 0.27655521  9767447       44
  830 1.00118735 0.27648446  9767738       44
  840 1.00117048 0.27654097  9766194       42
  850 1.00115847 0.27656753  9767847       41
  860 1.00114390 0.27658305  9766882       47
  870 1.00112845 0.27657900  9766888       47
  880 1.00111489 0.27672344  9767948       46
  890 1.00110421 0.27679623  9767340       46
  900 1.00109239 0.27676287  9766785       46
  910 1.00107973 0.27672616  9767623       44
  920 1.00106870 0.27681892  9766352       45
  930 1.00105618 0.27682227  9767608       44
  940 1.00104154 0.27692913  9766939       44
  950 1.00103074 0.27691685  9767741       43
  960 1.00102250 0.27687555  9767926       48
  970 1.00101216 0.27684109  9767847       50
  980 1.00100286 0.27681010  9768127       43
  990 1.00099030 0.27679307  9767677       45
 1000 1.00097940 0.27682488  9767652       42
 1010 1.00096861 0.27677492  9767452       44
 1020 1.00095985 0.27682716  9767891       44
 1030 1.00095102 0.27676404  9767785       42
 1040 1.00094240 0.27680627  9767644       44
 1050 1.00093429 0.27677747  9766862       42
 1060 1.00092509 0.27677943  9769111       45
 1070 1.00091692 0.27680336  9767397       47
 1080 1.00090755 0.27678730  9768408       45
 1090 1.00089844 0.27679447  9766993       43
 1100 1.00089064 0.27677210  9766845       44
 1110 1.00088468 0.27671113  9767375       44
 1120 1.00087603 0.27668228  9767267       43
 1130 1.00086832 0.27665322  9767274       46
 1140 1.00085930 0.27666811  9767064       43
 1150 1.00085287 0.27672230  9768381       45
 1160 1.00084664 0.27667854  9767036       44
 1170 1.00084064 0.27677691  9767399       43
 1180 1.00083386 0.27678202  9767710       43
 1190 1.00082739 0.27680613  9766846       42
 1200 1.00082058 0.27680831  9766928       44
 1210 1.00081459 0.27681717  9766965       42
 1220 1.00080611 0.27683222  9767231       43
 1230 1.00079768 0.27680062  9767845       44
 1240 1.00079141 0.27681678  9767083       43
 1250 1.00078296 0.27684209  9768926       45
 1260 1.00077722 0.27681100  9767242       43
 1270 1.00077031 0.27683991  9766729       44
 1280 1.00076184 0.27690396  9767255       46
 1290 1.00075705 0.27691690  9767863       43
 1300 1.00074981 0.27689170  9766974       45
 1310 1.00074332 0.27689831  9767324       43
 1320 1.00073534 0.27688575  9767853       46
 1330 1.00072970 0.27685402  9767428       44
 1340 1.00072265 0.27685912  9768359       45
 1350 1.00071893 0.27684769  9767854       42
 1360 1.00071404 0.27687311  9767442       43
 1370 1.00070891 0.27692358  9767095       42
 1380 1.00070163 0.27696546  9766838       42
 1390 1.00069633 0.27693398  9768422       44
