#cycle        mu      sigmatransactionsmax interactions
   10 1.10027000 1.12085193  9489867       43
   20 1.05008000 1.14287774  9495410       44
   30 1.03347000 1.15149926  9479621       43
   40 1.02517250 1.17682285  9487205       43
   50 1.02021000 1.17278746  9499393       42
   60 1.01687833 1.18047887  9502911       44
   70 1.01451857 1.21627893  9471807       42
   80 1.01272625 1.20239248  9480988       43
   90 1.01134333 1.19600083  9484227       43
  100 1.01024500 1.19518074  9506747       44
  110 1.00933455 1.19685914  9486013       45
  120 1.00855667 1.19156770  9472448       43
  130 1.00791192 1.18758971  9487514       42
  140 1.00736000 1.18068826  9490195       43
  150 1.00688700 1.18332600  9502839       45
  160 1.00646906 1.18504606  9480309       43
  170 1.00610294 1.18246796  9498045       42
  180 1.00576222 1.17997732  9490910       42
  190 1.00547816 1.18157370  9491548       47
  200 1.00521775 1.17973213  9516733       44
  210 1.00497143 1.17895945  9487320       43
  220 1.00475045 1.18015593  9499625       46
  230 1.00455196 1.17588595  9500046       45
  240 1.00436438 1.19231370  9497086       45
  250 1.00419520 1.19060634  9481200       47
  260 1.00404654 1.18923182  9487572       43
  270 1.00390407 1.18945807  9481367       44
  280 1.00376607 1.18735671  9509930       44
  290 1.00364293 1.18612635  9478536       43
  300 1.00352050 1.20451332  9519172       42
  310 1.00341790 1.20323488  9474207       42
  320 1.00332063 1.21665693  9496721       43
  330 1.00322955 1.21434602  9525332       44
  340 1.00313794 1.22614633  9470409       48
  350 1.00305414 1.22359582  9514464       43
  360 1.00297278 1.22269147  9506347       45
  370 1.00289905 1.25193642  9505449       43
  380 1.00282987 1.24764843  9514486       43
  390 1.00276077 1.24573743  9503440       43
  400 1.00269738 1.24378842  9487372       43
  410 1.00263878 1.24170856  9525007       44
  420 1.00258583 1.24100199  9515289       44
  430 1.00252663 1.23833023  9505310       42
  440 1.00247705 1.23604563  9484078       43
  450 1.00242422 1.23477969  9477586       42
  460 1.00237000 1.23280365  9481447       43
  470 1.00232755 1.23055707  9536731       43
  480 1.00228302 1.22889527  9515056       47
  490 1.00224357 1.22888665  9488091       45
  500 1.00219960 1.22756843  9509370       44
  510 1.00216029 1.22643491  9508663       43
  520 1.00211808 1.22548776  9484243       42
  530 1.00207670 1.22439984  9502396       45
  540 1.00204361 1.22326093  9491490       45
  550 1.00201036 1.22139211  9511879       43
  560 1.00197625 1.22011509  9486893       43
  570 1.00194693 1.21876707  9538293       42
  580 1.00191586 1.21739917  9492129       44
  590 1.00188881 1.21667798  9498135       44
  600 1.00185633 1.21591138  9482639       43
  610 1.00182590 1.21502227  9504200       42
  620 1.00179879 1.21445864  9487133       42
  630 1.00177349 1.21321319  9495138       42
  640 1.00174742 1.21190774  9484285       41
  650 1.00172892 1.21126840  9507110       42
  660 1.00170720 1.20978914  9501805       42
  670 1.00168022 1.20911294  9488478       42
  680 1.00165838 1.20759430  9488894       43
  690 1.00164036 1.20737488  9509054       42
  700 1.00161929 1.20695793  9524132       41
  710 1.00160211 1.20703793  9493727       42
  720 1.00158056 1.20653902  9483599       45
  730 1.00156466 1.20617277  9486062       44
  740 1.00154932 1.20514045  9512202       44
  750 1.00152853 1.20482229  9478838       43
  760 1.00150980 1.20359879  9503758       45
  770 1.00149292 1.20367812  9513821       44
  780 1.00147795 1.20731218  9490188       48
  790 1.00146196 1.20636029  9491440       41
  800 1.00144413 1.20642034  9476562       44
  810 1.00142537 1.20599160  9485520       43
  820 1.00141043 1.20522084  9485053       47
  830 1.00139675 1.20417234  9505919       45
  840 1.00138268 1.20336055  9489909       42
  850 1.00136729 1.21418604  9559497       43
  860 1.00135453 1.21335994  9505930       43
  870 1.00134023 1.21507716  9513818       44
  880 1.00132937 1.21391708  9489634       44
  890 1.00131927 1.21355465  9488170       45
  900 1.00130989 1.21245476  9482465       42
  910 1.00129462 1.21788364  9482337       43
  920 1.00128391 1.21669408  9489591       45
  930 1.00127253 1.21555764  9486505       42
  940 1.00125926 1.21428139  9494032       42
  950 1.00124874 1.21352576  9491857       42
  960 1.00123937 1.21239478  9476508       42
  970 1.00122897 1.21140502  9482048       46
  980 1.00122036 1.21077384  9499479       42
  990 1.00121010 1.21039078  9484888       45
 1000 1.00120090 1.21007740  9553595       45
 1010 1.00119149 1.20919417  9485269       46
 1020 1.00118088 1.20827633  9512399       42
 1030 1.00117097 1.20798611  9471720       44
 1040 1.00116519 1.20733412  9489228       44
 1050 1.00115695 1.20664693  9483568       44
 1060 1.00114608 1.20602363  9497330       44
 1070 1.00113692 1.20520617  9478963       42
 1080 1.00112667 1.20412148  9518067       42
 1090 1.00111752 1.20362525  9491887       45
 1100 1.00111000 1.20309885  9531541       42
 1110 1.00110288 1.20282763  9496991       44
 1120 1.00109384 1.20200104  9487004       42
 1130 1.00108664 1.20114049  9490073       44
 1140 1.00107974 1.20069915  9524205       44
 1150 1.00107248 1.20058996  9500766       44
 1160 1.00106379 1.20052745  9478769       44
 1170 1.00105641 1.20001522  9514339       42
 1180 1.00105042 1.19943972  9482703       44
 1190 1.00104479 1.19913869  9512313       45
 1200 1.00103896 1.19831963  9492852       43
 1210 1.00102942 1.19794863  9488208       44
 1220 1.00102299 1.19754688  9487516       42
 1230 1.00101488 1.19743627  9499382       44
 1240 1.00100839 1.19688166  9486753       42
 1250 1.00099944 1.19659414  9516258       41
 1260 1.00099302 1.19639596  9476841       42
 1270 1.00098728 1.19614205  9492023       42
 1280 1.00098000 1.19563315  9504789       46
 1290 1.00097516 1.19575479  9491641       42
 1300 1.00096662 1.19624789  9489888       43
 1310 1.00096061 1.19632207  9487792       48
 1320 1.00095451 1.20401935  9488340       44
 1330 1.00094910 1.20372721  9506362       44
 1340 1.00094366 1.20339218  9512716       43
 1350 1.00093796 1.20272308  9497128       42
 1360 1.00093283 1.20209907  9499562       44
 1370 1.00092723 1.20433524  9475586       42
 1380 1.00092022 1.20651056  9493006       45
 1390 1.00091471 1.20603017  9508075       44
 1400 1.00091068 1.20572761  9477076       43
 1410 1.00090472 1.20555758  9500292       45
 1420 1.00089958 1.20497914  9484622       45
 1430 1.00089538 1.20506348  9570369       44
 1440 1.00089045 1.20457576  9486305       45
 1450 1.00088534 1.20421892  9487266       44
 1460 1.00087997 1.20380055  9500219       42
 1470 1.00087497 1.20430181  9497186       44
 1480 1.00087071 1.20370078  9491270       44
 1490 1.00086718 1.20420349  9524596       44
 1500 1.00086233 1.20367155  9529015       42
 1510 1.00086030 1.20336310  9511488       45
 1520 1.00085628 1.20291883  9505768       43
 1530 1.00085114 1.20279242  9477382       42
 1540 1.00084669 1.20472213  9535502       43
 1550 1.00084306 1.20463623  9488352       42
 1560 1.00083792 1.20437335  9481296       44
 1570 1.00083277 1.20391082  9519338       48
 1580 1.00082918 1.20386189  9474098       45
 1590 1.00082478 1.20366318  9502050       42
 1600 1.00082131 1.20340852  9486571       44
 1610 1.00081798 1.20326401  9477300       45
 1620 1.00081494 1.20291828  9477615       42
 1630 1.00081067 1.20223571  9494696       42
 1640 1.00080649 1.20220490  9494075       46
 1650 1.00080264 1.20191844  9481221       42
 1660 1.00079895 1.20153472  9506457       43
 1670 1.00079623 1.20146223  9480870       44
 1680 1.00079390 1.20136443  9497588       43
 1690 1.00079050 1.20140780  9509838       44
 1700 1.00078809 1.20067811  9507982       43
 1710 1.00078430 1.20016037  9484567       45
 1720 1.00078279 1.19997748  9482059       43
 1730 1.00078072 1.19992676  9511132       42
 1740 1.00077641 1.19943638  9483884       42
 1750 1.00077251 1.19919055  9493237       43
 1760 1.00076875 1.19869161  9487875       42
 1770 1.00076441 1.19835840  9481381       42
 1780 1.00076076 1.19835269  9475935       44
 1790 1.00075802 1.19786709  9477604       46
 1800 1.00075544 1.19779250  9523353       42
 1810 1.00075279 1.20668649  9488709       45
 1820 1.00074885 1.20661000  9503761       44
 1830 1.00074667 1.20656058  9480069       45
 1840 1.00074429 1.20641718  9497538       41
 1850 1.00074127 1.20594491  9512275       42
 1860 1.00073772 1.20556976  9478013       44
 1870 1.00073535 1.20516033  9481299       44
 1880 1.00073176 1.20492791  9503961       45
 1890 1.00072963 1.20464170  9489808       43
 1900 1.00072668 1.20424871  9483701       43
 1910 1.00072312 1.20385975  9506174       43
 1920 1.00072063 1.20365137  9503671       44
 1930 1.00071889 1.20340285  9531160       41
 1940 1.00071567 1.20317605  9502241       43
 1950 1.00071262 1.20294738  9483287       42
 1960 1.00071087 1.20264690  9499825       44
 1970 1.00070893 1.20808941  9474539       44
 1980 1.00070712 1.20807063  9511183       45
 1990 1.00070447 1.20793988  9537727       43
