#cycle        mu      sigmatransactionsmax interactions
   10 1.09976000 0.29253694  9208660       40
   20 1.04986250 0.33802873  9206997       40
   30 1.03325667 0.35584416  9207612       43
   40 1.02490875 0.36042730  9209431       42
   50 1.01993900 0.36296854  9205594       42
   60 1.01661250 0.36548269  9203846       41
   70 1.01424857 0.36989676  9207778       46
   80 1.01246187 0.37012970  9209516       40
   90 1.01104556 0.37170116  9206070       40
  100 1.00994450 0.37239776  9208819       42
  110 1.00902000 0.37196323  9208958       42
  120 1.00825625 0.37176104  9207680       44
  130 1.00763385 0.37190938  9208619       43
  140 1.00708071 0.37203708  9208598       41
  150 1.00661000 0.37120687  9206400       42
  160 1.00620063 0.37226524  9208819       45
  170 1.00583735 0.37218925  9208570       41
  180 1.00551944 0.37241626  9206162       41
  190 1.00523368 0.37335563  9208891       40
  200 1.00497325 0.37312847  9209537       40
  210 1.00473690 0.37319413  9207493       41
  220 1.00452114 0.37388831  9206121       42
  230 1.00431717 0.37371780  9207881       47
  240 1.00412833 0.37386633  9208101       42
  250 1.00395740 0.37404966  9207593       44
  260 1.00380385 0.37404672  9207773       42
  270 1.00366667 0.37417594  9207774       42
  280 1.00353304 0.37413484  9205299       44
  290 1.00341172 0.37402752  9208320       42
  300 1.00330000 0.37377476  9210003       44
  310 1.00319290 0.37386524  9206036       44
  320 1.00309125 0.37361769  9209228       48
  330 1.00300091 0.37344519  9206635       41
  340 1.00292294 0.37344591  9205444       43
  350 1.00284086 0.37347867  9206587       42
  360 1.00276375 0.37331470  9207381       41
  370 1.00269622 0.37308812  9208520       45
  380 1.00262026 0.37331440  9204331       41
  390 1.00254897 0.37330258  9208891       39
  400 1.00248963 0.37354575  9205527       42
  410 1.00243037 0.37361304  9207971       43
  420 1.00237083 0.37381787  9208031       44
  430 1.00231151 0.37369362  9204957       41
  440 1.00225773 0.37354596  9207844       42
  450 1.00221111 0.37373182  9206120       41
  460 1.00216337 0.37382002  9205997       41
  470 1.00211702 0.37376782  9207163       41
  480 1.00207542 0.37359947  9207425       40
  490 1.00203378 0.37355630  9209777       40
  500 1.00199660 0.37373738  9207359       41
  510 1.00195245 0.37391623  9208547       42
  520 1.00191548 0.37426176  9206207       46
  530 1.00187925 0.37428726  9206313       43
  540 1.00184509 0.37422399  9203282       44
  550 1.00181036 0.37398965  9209382       40
  560 1.00178018 0.37388164  9208105       42
  570 1.00174614 0.37381574  9206550       40
  580 1.00172000 0.37362897  9205802       40
  590 1.00168890 0.37371833  9205242       41
  600 1.00165900 0.37378015  9207122       42
  610 1.00163098 0.37378900  9208313       42
  620 1.00160589 0.37402568  9208659       46
  630 1.00157690 0.37395417  9203626       41
  640 1.00155430 0.37397040  9208651       45
  650 1.00152923 0.37389015  9207933       41
  660 1.00150750 0.37373231  9210437       41
  670 1.00148336 0.37370798  9206879       41
  680 1.00146088 0.37374785  9207672       41
  690 1.00143826 0.37373859  9210036       44
  700 1.00141971 0.37377938  9210217       41
  710 1.00140148 0.37371006  9207826       44
  720 1.00138097 0.37372057  9208134       42
  730 1.00136377 0.37368675  9207386       41
  740 1.00134318 0.37380399  9205862       40
  750 1.00132387 0.37395950  9208616       42
  760 1.00130678 0.37398244  9207393       40
  770 1.00129130 0.37396999  9209836       42
  780 1.00127269 0.37408089  9208259       44
  790 1.00125209 0.37408297  9208762       42
  800 1.00123506 0.37412601  9208923       43
  810 1.00122049 0.37425289  9207554       42
  820 1.00120610 0.37424385  9206415       44
  830 1.00118958 0.37431518  9208736       45
  840 1.00117619 0.37420970  9206369       41
  850 1.00116253 0.37415696  9207328       42
  860 1.00114959 0.37402840  9206653       42
  870 1.00113494 0.37403983  9205661       43
  880 1.00112347 0.37409893  9208695       43
  890 1.00110826 0.37406100  9206377       41
  900 1.00109583 0.37404394  9207281       42
  910 1.00108440 0.37410569  9205562       41
  920 1.00107359 0.37424814  9207355       41
  930 1.00106290 0.37434441  9208023       40
  940 1.00105303 0.37425424  9208630       42
  950 1.00104095 0.37423086  9207447       41
  960 1.00103094 0.37423962  9205975       41
  970 1.00101814 0.37438680  9207669       43
  980 1.00100673 0.37439590  9210198       41
  990 1.00099530 0.37430276  9208411       43
 1000 1.00098480 0.37432064  9206184       42
 1010 1.00097495 0.37440619  9208292       42
 1020 1.00096711 0.37433082  9207264       43
 1030 1.00095704 0.37422138  9208535       43
 1040 1.00094798 0.37421720  9207999       43
 1050 1.00094043 0.37428361  9206599       40
 1060 1.00093175 0.37426354  9207702       42
 1070 1.00092243 0.37421430  9205798       41
 1080 1.00091370 0.37423092  9206986       42
 1090 1.00090624 0.37423564  9211976       47
 1100 1.00089714 0.37419457  9204405       43
 1110 1.00088829 0.37417368  9207610       41
 1120 1.00088205 0.37431232  9207690       42
 1130 1.00087327 0.37426581  9204574       42
 1140 1.00086627 0.37418421  9206232       40
 1150 1.00085965 0.37413806  9207637       42
 1160 1.00085116 0.37422969  9206067       46
 1170 1.00084209 0.37425365  9205183       42
 1180 1.00083530 0.37415597  9206003       41
 1190 1.00083008 0.37420140  9206421       42
 1200 1.00082554 0.37424684  9208698       45
 1210 1.00081653 0.37426182  9209072       43
 1220 1.00080955 0.37426712  9209506       44
 1230 1.00080134 0.37429004  9208423       43
 1240 1.00079476 0.37426240  9208294       44
 1250 1.00078812 0.37423325  9205131       45
 1260 1.00078393 0.37430520  9209225       40
 1270 1.00077921 0.37423835  9208669       41
 1280 1.00077250 0.37423477  9207601       43
 1290 1.00076523 0.37427443  9207739       41
 1300 1.00076042 0.37440366  9205513       41
 1310 1.00075443 0.37442814  9207591       42
 1320 1.00075027 0.37442954  9205163       40
 1330 1.00074365 0.37448447  9208107       40
 1340 1.00073754 0.37447162  9208657       45
 1350 1.00073278 0.37445927  9207873       42
 1360 1.00072827 0.37441107  9207681       43
 1370 1.00072299 0.37446382  9208880       40
 1380 1.00071873 0.37440902  9209831       42
 1390 1.00071399 0.37448658  9206265       43
 1400 1.00070825 0.37452270  9206638       42
 1410 1.00070348 0.37452951  9208682       40
 1420 1.00069806 0.37455164  9207028       46
 1430 1.00069210 0.37453822  9208742       42
 1440 1.00068660 0.37451177  9208191       41
 1450 1.00068245 0.37450046  9207592       42
 1460 1.00067801 0.37445641  9205298       42
 1470 1.00067231 0.37445101  9208845       42
 1480 1.00066821 0.37440572  9206589       42
 1490 1.00066433 0.37442926  9208857       42
 1500 1.00066027 0.37438995  9209723       41
 1510 1.00065450 0.37437128  9208081       42
 1520 1.00065138 0.37438240  9209102       42
 1530 1.00064585 0.37438382  9206616       42
 1540 1.00064136 0.37432832  9206095       39
 1550 1.00063671 0.37423866  9207318       41
 1560 1.00063263 0.37422135  9206060       43
 1570 1.00063013 0.37419759  9207118       41
 1580 1.00062677 0.37418272  9209193       40
 1590 1.00062248 0.37425400  9207618       42
 1600 1.00061888 0.37424830  9208122       42
