#cycle        mu      sigmatransactionsmax interactions
   10 1.10066000 20.79758306  8464248      105
   20 1.05087000 19.18005449  8507440      106
   30 1.03418333 19.11508000  8517327      110
   40 1.02582000 18.86316320  8544421      109
   50 1.02075600 18.64693289  8489375      107
   60 1.01739667 19.05555711  8565291      110
   70 1.01498571 19.29431364  8481877      107
   80 1.01317625 19.16112532  8571001      113
   90 1.01180556 19.29175457  8568938      111
  100 1.01068700 19.21947794  8537928      111
  110 1.00977818 19.09023580  8513329      109
  120 1.00898250 19.19976952  8540429      108
  130 1.00833154 18.98931139  8505351      116
  140 1.00777000 18.80239852  8534396      110
  150 1.00730533 18.88309273  8544903      111
  160 1.00689063 19.05672293  8529646      110
  170 1.00651412 19.18738336  8503686      109
  180 1.00619500 19.20638498  8596145      109
  190 1.00590895 19.11719711  8508050      109
  200 1.00565500 19.21788815  8604097      109
  210 1.00542905 19.08861917  8542614      108
  220 1.00520409 18.98654362  8539491      111
  230 1.00500348 19.00244529  8514855      108
  240 1.00483167 18.90418813  8518627      111
  250 1.00466440 19.01188806  8514096      113
  260 1.00451346 19.15808219  8601858      108
  270 1.00437741 19.16995319  8463366      107
  280 1.00424357 19.15892215  8625029      108
  290 1.00413103 19.13805357  8585555      110
  300 1.00401400 19.14674710  8564991      109
  310 1.00391419 19.14740063  8602954      108
  320 1.00380031 19.04126235  8471830      108
  330 1.00370576 19.10648080  8532040      109
  340 1.00360853 19.22737970  8463103      110
  350 1.00352714 19.38650403  8574606      108
  360 1.00345083 19.34630202  8529303      107
  370 1.00337459 19.34362471  8506885      109
  380 1.00329763 19.36591877  8559797      108
  390 1.00322410 19.31415077  8580933      112
  400 1.00316325 19.25418531  8532007      110
  410 1.00310805 19.22591691  8542387      116
  420 1.00304524 19.26892891  8517353      114
  430 1.00298326 19.25880590  8508897      107
  440 1.00292523 19.29087273  8542214      111
  450 1.00287467 19.24433913  8509568      110
  460 1.00283043 19.20094522  8577473      108
  470 1.00278723 19.27421505  8483764      111
  480 1.00274042 19.22433735  8520180      111
  490 1.00269531 19.19974873  8502441      112
  500 1.00264900 19.20797231  8505189      105
  510 1.00260647 19.24340947  8576999      113
  520 1.00257019 19.27809667  8517017      104
  530 1.00253208 19.30333111  8523064      114
  540 1.00248667 19.30402701  8422455      109
  550 1.00245691 19.30798212  8523120      111
  560 1.00242375 19.31763944  8529609      108
  570 1.00239263 19.27106835  8552944      113
  580 1.00236034 19.23665970  8481730      107
  590 1.00233017 19.22414524  8532581      106
  600 1.00229750 19.18681031  8560104      108
  610 1.00227016 19.18090472  8489969      112
  620 1.00224694 19.30165072  8533100      111
  630 1.00221905 19.27147440  8487242      108
  640 1.00219172 19.28480134  8541839      107
  650 1.00216431 19.35094237  8595953      111
  660 1.00213409 19.35424120  8483074      117
  670 1.00210716 19.33295749  8553696      109
  680 1.00208132 19.31007793  8499516      109
  690 1.00205942 19.27255180  8498812      106
  700 1.00204143 19.28984300  8459308      107
  710 1.00202408 19.26976430  8477079      106
  720 1.00200708 19.23312574  8517890      110
  730 1.00199068 19.20933540  8619284      110
  740 1.00197216 19.22557840  8538798      109
  750 1.00195000 19.21719986  8516698      110
  760 1.00193211 19.20333539  8516241      111
  770 1.00191792 19.16038217  8553976      115
  780 1.00190115 19.13598314  8567159      111
  790 1.00188468 19.11751047  8505667      106
  800 1.00186763 19.11707606  8514903      108
  810 1.00184716 19.10672937  8527774      105
  820 1.00183207 19.13717236  8521064      112
  830 1.00181639 19.16939614  8575690      112
  840 1.00180512 19.15471582  8500479      107
  850 1.00178859 19.14449210  8513004      113
  860 1.00177116 19.12784576  8533000      108
  870 1.00175655 19.14964686  8539107      108
  880 1.00175000 19.13369195  8524254      106
  890 1.00173528 19.16337447  8601395      113
  900 1.00172422 19.16703514  8450299      111
  910 1.00171143 19.16999192  8512471      107
  920 1.00169891 19.17224100  8553904      107
  930 1.00169032 19.19093958  8548716      113
  940 1.00167489 19.22365785  8477064      110
  950 1.00166189 19.17956135  8571680      109
  960 1.00164813 19.18859360  8617509      106
  970 1.00163969 19.19692905  8462194      109
  980 1.00163051 19.17455708  8521856      110
  990 1.00161778 19.14398480  8463421      109
 1000 1.00160870 19.13911636  8521880      110
 1010 1.00159842 19.13488510  8518690      110
 1020 1.00158637 19.13784181  8528598      106
 1030 1.00157825 19.13582909  8477229      107
 1040 1.00156808 19.17339259  8490136      110
 1050 1.00156114 19.20134864  8532225      111
 1060 1.00155217 19.19812359  8505580      107
 1070 1.00154093 19.21753085  8481118      113
 1080 1.00153296 19.19892983  8520776      109
 1090 1.00152505 19.22684878  8507159      111
 1100 1.00151455 19.24306327  8581224      106
 1110 1.00150414 19.21721987  8450004      108
 1120 1.00149625 19.20237037  8558980      113
 1130 1.00148938 19.18396335  8488129      113
 1140 1.00148079 19.17577566  8471883      104
 1150 1.00147409 19.17039344  8493216      110
 1160 1.00146405 19.17279330  8483907      109
 1170 1.00145573 19.20262452  8549888      105
 1180 1.00144975 19.21028140  8527653      109
 1190 1.00144126 19.20264492  8489149      113
 1200 1.00143400 19.20263211  8494329      108
 1210 1.00142760 19.22290835  8544087      112
 1220 1.00142008 19.22378664  8518497      106
 1230 1.00141236 19.21980346  8508110      109
 1240 1.00140266 19.22325726  8464528      107
 1250 1.00139920 19.20830177  8512198      110
 1260 1.00139016 19.21844668  8496744      108
 1270 1.00138465 19.18522435  8525494      111
 1280 1.00137742 19.20025772  8553183      107
 1290 1.00137140 19.18734408  8558232      109
 1300 1.00136531 19.18698537  8512419      113
 1310 1.00135779 19.18600770  8548829      107
 1320 1.00135205 19.20331790  8533570      111
 1330 1.00134617 19.20897121  8503330      107
 1340 1.00134209 19.20712114  8544343      115
 1350 1.00133800 19.20272317  8548791      109
 1360 1.00133463 19.17906635  8449411      109
 1370 1.00132876 19.15669822  8555063      111
 1380 1.00132196 19.14912456  8494757      107
 1390 1.00131734 19.12782412  8490652      109
 1400 1.00131064 19.16887689  8459411      104
 1410 1.00130780 19.16012270  8548066      107
 1420 1.00130289 19.17923091  8549194      111
 1430 1.00129615 19.19789632  8481403      110
