#cycle        mu      sigmatransactionsmax interactions
   10 1.10195000 63.76786570  9370461       42
   20 1.05195500 58.83480168  9408318       43
   30 1.03519500 58.14454331  9383661       43
   40 1.02692375 58.03659036  9404867       46
   50 1.02186800 57.33151729  9398261       44
   60 1.01852917 57.73058717  9382620       44
   70 1.01612143 57.43529331  9370236       43
   80 1.01433375 57.26504648  9410894       44
   90 1.01297167 56.55230140  9417337       43
  100 1.01184750 56.94990894  9374049       47
  110 1.01093682 57.05294689  9424166       43
  120 1.01017167 56.86038416  9388879       49
  130 1.00952731 56.82771469  9379979       43
  140 1.00896964 57.12897283  9422371       43
  150 1.00849467 57.08490467  9389357       44
  160 1.00806969 57.01426872  9367649       44
  170 1.00769824 56.95372421  9415267       48
  180 1.00738083 56.86560308  9418335       43
  190 1.00708158 56.73457267  9386455       43
  200 1.00681375 56.65101335  9370170       47
  210 1.00656905 56.65196470  9400305       43
  220 1.00634886 56.62400837  9420548       45
  230 1.00615326 56.67668866  9389437       45
  240 1.00596792 56.67547099  9394031       44
  250 1.00579960 56.71710516  9429764       44
  260 1.00564058 56.61644497  9399213       45
  270 1.00549759 56.60174687  9395581       45
  280 1.00536589 56.58147219  9418516       46
  290 1.00524310 56.63441232  9367284       44
  300 1.00513500 56.59344945  9410594       45
  310 1.00502419 56.54262774  9409065       45
  320 1.00492516 56.75116345  9394322       44
  330 1.00483697 56.75250762  9402331       47
  340 1.00474868 56.66304407  9344986       43
  350 1.00466743 56.69937769  9401459       43
  360 1.00459042 56.74636019  9387678       45
  370 1.00451081 56.75730849  9370079       43
  380 1.00442895 56.77431198  9386348       41
  390 1.00435782 56.76323096  9373128       44
  400 1.00429925 56.82616762  9379950       42
  410 1.00424159 56.85254757  9380429       44
  420 1.00418155 56.93527955  9395106       44
  430 1.00412128 56.92160739  9380730       45
  440 1.00407341 56.92821516  9381082       43
  450 1.00402556 56.90355251  9351790       43
  460 1.00397728 56.97355136  9394093       44
  470 1.00393426 57.00695270  9396031       44
  480 1.00388594 57.00248515  9384678       42
  490 1.00384571 56.99838408  9401411       45
  500 1.00380460 57.05578000  9419236       42
  510 1.00376980 57.18559858  9374602       43
  520 1.00372990 57.12012932  9379033       44
  530 1.00369528 57.14418608  9408352       46
  540 1.00365935 57.10794696  9394259       44
  550 1.00362636 57.16085963  9402254       44
  560 1.00359179 57.15396936  9389379       45
  570 1.00356351 57.09339012  9425627       45
  580 1.00353560 57.14612918  9373209       44
  590 1.00351017 57.19255484  9381938       45
  600 1.00348142 57.21294667  9362919       42
  610 1.00345738 57.22656840  9383068       43
  620 1.00343024 57.29687855  9401832       44
  630 1.00340460 57.25690018  9411901       44
  640 1.00338320 57.30255594  9396795       44
  650 1.00335646 57.28017709  9411663       46
  660 1.00333394 57.24325301  9398449       44
  670 1.00330985 57.24888736  9380411       42
  680 1.00328603 57.26011081  9371430       44
  690 1.00326957 57.20011006  9394067       44
