#cycle        mu      sigmatransactionsmax interactions
   10 1.10042000 2.29148432  8257970      104
   20 1.05026000 2.17534268  8256832      103
   30 1.03359000 2.17759688  8253025      106
   40 1.02532500 2.15028702  8256767      104
   50 1.02031200 2.13834732  8259324      102
   60 1.01699833 2.13728431  8258586      104
   70 1.01458143 2.12900602  8255821      101
   80 1.01274750 2.13167444  8255604      103
   90 1.01136889 2.12811058  8259506      104
  100 1.01028100 2.12633835  8255301      107
  110 1.00935273 2.11505803  8256172      104
  120 1.00859583 2.11085190  8255359      109
  130 1.00798077 2.11468481  8257321      107
  140 1.00742429 2.11769692  8256638      107
  150 1.00695600 2.11964565  8258314      107
  160 1.00654375 2.11747534  8259130      105
  170 1.00617824 2.11696733  8253734      113
  180 1.00586222 2.12176066  8257165      105
  190 1.00558053 2.11907404  8258443      103
  200 1.00532550 2.11568731  8254635      111
  210 1.00509714 2.11246052  8259114      103
  220 1.00486636 2.11125020  8255503      102
  230 1.00467609 2.11118868  8253996      100
  240 1.00449708 2.11879305  8257618      107
  250 1.00433040 2.11999279  8256740      105
  260 1.00418038 2.13171616  8258121      112
  270 1.00404519 2.12523177  8253585      104
  280 1.00390000 2.12637892  8258338      102
  290 1.00378690 2.12705244  8260889      102
  300 1.00366467 2.12986929  8254386      108
  310 1.00355613 2.12862863  8257753      102
  320 1.00345719 2.13207975  8258251      101
  330 1.00337758 2.13008900  8257866      108
  340 1.00329706 2.12901553  8256447      104
  350 1.00321714 2.12894829  8256764      102
  360 1.00313722 2.13456845  8257729      104
  370 1.00306595 2.13334051  8258485      104
  380 1.00298000 2.13394147  8259043      103
  390 1.00290154 2.13678418  8257863      109
  400 1.00282650 2.13497985  8255985      109
  410 1.00276122 2.13791346  8256033      105
  420 1.00270952 2.13698329  8253157      104
  430 1.00264767 2.13530893  8256252      104
  440 1.00259091 2.13348943  8256274      102
  450 1.00254356 2.13513036  8257308      107
  460 1.00249565 2.13460259  8257562      108
  470 1.00244872 2.13379604  8257757      101
  480 1.00240771 2.13366919  8256688      107
  490 1.00236714 2.13303737  8254395      102
  500 1.00232900 2.13179305  8257513      104
  510 1.00229294 2.13289754  8257745      102
  520 1.00226019 2.13195342  8259569      104
  530 1.00222264 2.13023481  8258218      102
  540 1.00219056 2.13022743  8257411      103
  550 1.00215236 2.13186599  8258073      105
  560 1.00212000 2.13060096  8257574      101
  570 1.00208789 2.13180454  8257203      106
  580 1.00205310 2.13088964  8257635      105
  590 1.00202153 2.12761711  8255765      105
  600 1.00198917 2.13025310  8258418      104
  610 1.00195410 2.12856562  8254695      104
  620 1.00192371 2.12842784  8256917      111
  630 1.00190016 2.12873765  8256747      109
  640 1.00187891 2.12856095  8257067      105
  650 1.00185092 2.12645994  8254584      103
  660 1.00182515 2.12517721  8254909      103
  670 1.00180254 2.12396580  8253880      104
  680 1.00178059 2.12070112  8259280      106
  690 1.00176261 2.12120510  8258234      102
  700 1.00174057 2.12164543  8255947      108
  710 1.00172211 2.12363790  8257794      107
  720 1.00170236 2.12347754  8257599      104
  730 1.00168479 2.12238955  8258040      101
  740 1.00166784 2.12271389  8259625      102
  750 1.00165093 2.12255785  8259495      105
  760 1.00163500 2.12312912  8257680      107
  770 1.00161987 2.12277649  8259679      103
  780 1.00160397 2.12257690  8256917      102
  790 1.00158962 2.12330411  8256297      108
  800 1.00157450 2.12101631  8258259      108
  810 1.00156012 2.11980629  8257473      102
  820 1.00154634 2.11883538  8259056      102
  830 1.00153181 2.11845735  8256804      110
  840 1.00151940 2.11851578  8258304      102
  850 1.00150459 2.11795618  8259689      105
  860 1.00149314 2.11822090  8256123      105
  870 1.00147540 2.11802637  8257783      103
  880 1.00146716 2.11750476  8258524      105
  890 1.00145191 2.11572867  8257333      108
  900 1.00143722 2.11497392  8260302      104
  910 1.00142330 2.11485646  8257826      105
  920 1.00140924 2.11493892  8256860      104
  930 1.00139860 2.11548124  8254901      105
  940 1.00138660 2.11539928  8257124      103
  950 1.00137558 2.11470066  8258582      105
  960 1.00136490 2.11379951  8259902      107
  970 1.00135371 2.11326500  8257893      103
  980 1.00134245 2.11536545  8256656      101
  990 1.00133273 2.11539949  8258000      102
 1000 1.00132060 2.11533160  8258106      101
 1010 1.00131168 2.11469047  8257599      106
 1020 1.00130500 2.11317601  8258152      109
 1030 1.00129796 2.11315155  8256643      103
 1040 1.00128952 2.11413503  8258417      105
 1050 1.00127924 2.11371149  8256343      102
 1060 1.00127358 2.11245899  8259644      106
 1070 1.00126533 2.11147320  8254960      108
 1080 1.00125657 2.11057705  8254853      108
 1090 1.00124541 2.11196698  8257656      102
 1100 1.00123827 2.11071077  8258538      103
 1110 1.00122766 2.11116460  8257616      108
 1120 1.00121929 2.11055764  8255613      104
 1130 1.00120947 2.11035629  8257289      104
 1140 1.00119982 2.11094310  8255183      107
 1150 1.00119426 2.11064827  8260177      107
 1160 1.00118716 2.11031530  8256153      104
 1170 1.00117872 2.11036495  8257468      106
 1180 1.00117000 2.11103743  8256683      105
