#cycle        mu      sigmatransactionsmax interactions
   10 1.10050000 23.05969725  8508841       40
   20 1.05051500 22.32691373  8582659       41
   30 1.03382167 21.35473743  8482591       39
   40 1.02546625 20.88454135  8535091       40
   50 1.02048200 21.77675449  8584095       39
   60 1.01716417 21.88946681  8542620       41
   70 1.01479286 21.81570081  8536182       41
   80 1.01302750 21.77381860  8504310       39
   90 1.01163889 21.79476870  8536041       42
  100 1.01053750 21.58944001  8526810       40
  110 1.00962364 21.73838766  8478216       39
  120 1.00887083 21.68961668  8507546       38
  130 1.00826500 21.98200531  8526408       40
  140 1.00769893 21.92482730  8522225       43
  150 1.00723833 22.11356514  8495625       42
  160 1.00681031 22.33948149  8553900       43
  170 1.00644824 22.38591977  8503913       38
  180 1.00610583 22.37605747  8468176       39
  190 1.00581842 22.23181349  8537784       40
  200 1.00555250 22.29289129  8519190       39
  210 1.00532190 22.25966827  8511957       41
  220 1.00509932 22.29925550  8540989       39
  230 1.00490087 22.45738479  8561333       40
  240 1.00471104 22.54867901  8553851       41
  250 1.00455020 22.50001172  8491026       39
  260 1.00438385 22.50680978  8504372       39
  270 1.00424093 22.57308922  8526101       39
  280 1.00410643 22.46639894  8551499       41
  290 1.00399379 22.39934483  8539588       39
  300 1.00388217 22.36918336  8501083       41
  310 1.00377484 22.41227320  8483357       39
  320 1.00367078 22.40497138  8522326       39
  330 1.00358333 22.37437540  8472850       40
  340 1.00349456 22.31543963  8503411       41
  350 1.00340400 22.25133240  8507198       40
  360 1.00331375 22.22551048  8501069       38
  370 1.00324108 22.19180640  8471976       39
  380 1.00317487 22.19846118  8542101       42
  390 1.00310885 22.16825289  8514246       40
  400 1.00304937 22.13535285  8511101       39
  410 1.00298963 22.13726918  8530456       43
  420 1.00293226 22.14022662  8520501       39
  430 1.00287872 22.09852435  8591766       39
  440 1.00282239 22.06664434  8497028       40
  450 1.00276989 22.05899512  8520067       39
  460 1.00272076 21.99237154  8465456       39
  470 1.00267660 21.99023260  8525803       40
  480 1.00263396 22.01860286  8518227       43
  490 1.00259286 22.06798679  8511009       38
  500 1.00255150 22.08354987  8517440       40
  510 1.00251725 22.05323360  8524838       39
  520 1.00247788 21.99764410  8512067       38
  530 1.00244264 21.96843132  8576913       38
  540 1.00240491 21.99938104  8540841       40
  550 1.00236991 22.03517744  8470788       41
  560 1.00234098 22.03568913  8512075       39
  570 1.00230711 22.06275167  8574846       40
  580 1.00227793 22.07067022  8515959       38
  590 1.00224771 22.05068128  8514128       39
  600 1.00222158 22.02653548  8553459       40
  610 1.00219090 22.02648612  8518170       39
  620 1.00216621 22.00718779  8536636       40
  630 1.00214325 21.95800788  8454786       39
  640 1.00212094 21.93772638  8524729       40
  650 1.00209862 21.93944973  8567087       40
  660 1.00207629 21.95514780  8575081       38
  670 1.00205612 22.00055759  8505098       39
  680 1.00203449 22.05142704  8555789       41
  690 1.00200913 22.07569022  8518568       40
  700 1.00198586 22.05893223  8576590       41
  710 1.00196592 22.04364458  8546541       42
  720 1.00194667 22.00032616  8453965       42
  730 1.00192664 21.97174977  8554089       38
  740 1.00190939 21.94125596  8482708       40
  750 1.00188920 21.91942664  8531957       40
  760 1.00187151 21.93105107  8544637       40
  770 1.00185175 21.93993334  8508302       38
  780 1.00183808 21.95374185  8558346       40
  790 1.00182215 21.96574231  8512417       39
  800 1.00180375 21.93276868  8484120       40
  810 1.00179031 21.91680139  8524067       40
  820 1.00177439 21.89633330  8589753       41
  830 1.00176193 21.86914078  8510731       39
  840 1.00174780 21.91571968  8571868       40
  850 1.00173647 21.91088489  8567894       40
  860 1.00172058 21.89784885  8471621       39
  870 1.00170690 21.88237155  8571335       41
  880 1.00169369 21.89022010  8538931       40
  890 1.00167972 21.88334386  8491353       40
  900 1.00166700 21.87628952  8526035       42
  910 1.00165555 21.86755986  8523992       39
  920 1.00164495 21.87742877  8520953       40
  930 1.00163156 21.87361476  8498812       40
  940 1.00162011 21.85955285  8528259       40
  950 1.00161011 21.84532850  8547673       39
  960 1.00159917 21.81598800  8494898       45
  970 1.00159026 21.85884197  8510008       40
  980 1.00158036 21.84504258  8528273       40
  990 1.00157071 21.84120095  8435035       42
 1000 1.00156045 21.84205016  8493809       39
 1010 1.00154985 21.84159994  8572392       40
 1020 1.00153971 21.82308907  8508779       40
 1030 1.00152971 21.82029652  8546500       41
 1040 1.00152264 21.83289229  8490824       38
 1050 1.00151290 21.83056765  8562328       45
 1060 1.00150321 21.86474364  8554821       40
 1070 1.00149383 21.87436425  8510411       42
 1080 1.00148463 21.88093987  8471977       40
 1090 1.00147468 21.86930345  8501481       39
 1100 1.00146732 21.85705875  8523427       44
 1110 1.00145901 21.87332152  8518886       39
 1120 1.00145062 21.86805852  8567557       42
 1130 1.00144115 21.85905881  8504496       40
 1140 1.00143535 21.85439712  8523495       40
 1150 1.00142657 21.88330511  8524300       45
 1160 1.00141970 21.87575792  8495805       39
 1170 1.00141201 21.88400434  8578463       39
 1180 1.00140280 21.88157990  8578931       41
 1190 1.00139441 21.87854936  8532757       39
 1200 1.00138850 21.85801367  8567002       41
 1210 1.00138074 21.86825207  8557512       42
 1220 1.00137270 21.84877290  8505291       39
 1230 1.00136687 21.82994588  8581302       40
 1240 1.00135762 21.81617737  8573795       41
 1250 1.00135140 21.81228681  8522162       40
 1260 1.00134488 21.80116116  8557174       41
 1270 1.00133776 21.80195914  8520438       39
 1280 1.00133207 21.77934125  8505843       41
 1290 1.00132814 21.78102585  8503524       41
 1300 1.00132181 21.75500672  8504882       41
 1310 1.00131603 21.76195587  8497113       40
 1320 1.00131087 21.75536832  8550686       41
 1330 1.00130515 21.77504359  8495176       40
 1340 1.00129866 21.77570197  8539471       41
 1350 1.00129374 21.79427089  8581806       42
 1360 1.00128732 21.76057746  8537509       39
 1370 1.00128186 21.76417232  8557205       41
 1380 1.00127587 21.75433523  8533144       40
 1390 1.00126957 21.76589333  8546714       40
 1400 1.00126468 21.79818843  8519426       42
 1410 1.00126078 21.80582232  8503889       38
 1420 1.00125676 21.78813743  8514551       41
 1430 1.00125129 21.80172232  8525309       40
 1440 1.00124653 21.81746201  8515768       42
 1450 1.00124290 21.83342587  8588364       43
 1460 1.00123712 21.83393550  8551232       40
 1470 1.00123282 21.83914450  8544687       39
 1480 1.00122953 21.84291456  8596750       42
 1490 1.00122507 21.86597016  8560661       38
 1500 1.00122017 21.87527840  8524579       40
 1510 1.00121444 21.88600785  8527081       42
 1520 1.00120947 21.88466572  8584514       41
 1530 1.00120523 21.85730017  8511071       39
 1540 1.00120240 21.85514228  8489584       41
 1550 1.00120016 21.85993869  8518036       40
 1560 1.00119686 21.86183542  8477019       43
 1570 1.00119312 21.90044296  8555497       41
 1580 1.00118788 21.91093148  8533238       39
 1590 1.00118368 21.90502058  8547601       39
 1600 1.00117937 21.90057850  8511120       40
 1610 1.00117562 21.90084823  8504551       39
 1620 1.00117213 21.89626836  8526934       39
 1630 1.00116825 21.88310080  8515114       44
 1640 1.00116567 21.87477144  8546995       46
 1650 1.00116230 21.88375049  8511810       40
 1660 1.00115892 21.87789471  8488918       40
 1670 1.00115389 21.87506903  8507733       39
 1680 1.00114988 21.90686293  8508392       38
 1690 1.00114544 21.90759326  8547141       41
 1700 1.00114215 21.89021065  8505473       40
 1710 1.00114041 21.88810541  8594383       39
 1720 1.00113564 21.89011821  8569357       38
 1730 1.00113205 21.89597778  8501872       41
