#cycle        mu      sigmatransactionsmax interactions
   10 1.10034000 4.82331038  8042444       36
   20 1.05051750 4.63387823  8040441       38
   30 1.03377167 4.68473131  8047465       42
   40 1.02534250 4.63427126  8046859       38
   50 1.02038300 4.63090093  8045157       36
   60 1.01708250 4.56791369  8035022       38
   70 1.01473643 4.55455977  8026226       40
   80 1.01295375 4.54314583  8030738       39
   90 1.01154167 4.55824151  8042062       36
  100 1.01040650 4.54740570  8033902       37
  110 1.00952455 4.54301719  8044977       38
  120 1.00878417 4.56715213  8044299       37
  130 1.00816385 4.55286985  8030257       37
  140 1.00761536 4.55982751  8032479       37
  150 1.00712833 4.57273482  8036276       37
  160 1.00670406 4.56468587  8031999       39
  170 1.00631912 4.55108133  8039303       41
  180 1.00600167 4.56083831  8045216       39
  190 1.00571658 4.57695700  8039443       40
  200 1.00544325 4.57825927  8042904       39
  210 1.00520762 4.56573586  8035989       43
  220 1.00497659 4.55384673  8036457       38
  230 1.00477826 4.54218865  8041013       42
  240 1.00459188 4.54275152  8030998       37
  250 1.00442520 4.53278934  8026457       38
  260 1.00427385 4.52808654  8046818       39
  270 1.00413278 4.52614698  8049308       36
  280 1.00399696 4.53573011  8026742       37
  290 1.00387431 4.54194635  8030963       40
  300 1.00376867 4.54320106  8033811       36
  310 1.00365855 4.53815332  8045328       38
  320 1.00355688 4.52968538  8034320       37
  330 1.00346333 4.52980572  8047568       42
  340 1.00337853 4.52522334  8035205       37
  350 1.00329843 4.52901599  8055887       40
  360 1.00322028 4.52546813  8036711       37
  370 1.00314473 4.52497564  8044319       38
  380 1.00306408 4.53596398  8029532       36
  390 1.00299346 4.53038864  8045344       39
  400 1.00293062 4.53474599  8040616       38
  410 1.00286878 4.52934720  8046755       39
  420 1.00280917 4.53092385  8044829       39
  430 1.00275081 4.53668778  8053340       39
  440 1.00269716 4.53917011  8045495       38
  450 1.00264711 4.54367008  8033305       37
  460 1.00259870 4.53939167  8035016       38
  470 1.00254713 4.54334187  8034937       38
  480 1.00250760 4.54415126  8053444       38
  490 1.00246653 4.54806042  8047995       38
  500 1.00242100 4.55979585  8035489       38
  510 1.00238225 4.55496516  8034331       39
  520 1.00234375 4.54848036  8042946       38
  530 1.00230208 4.54428413  8036659       41
  540 1.00226537 4.54554612  8041951       36
  550 1.00223082 4.54850451  8035891       42
  560 1.00219821 4.54587111  8052281       38
  570 1.00216939 4.54701097  8043537       40
  580 1.00213681 4.54571256  8027431       38
  590 1.00210432 4.54691198  8031216       37
  600 1.00207592 4.54855571  8045786       38
  610 1.00205123 4.55327755  8050561       42
  620 1.00202589 4.55665902  8051109       37
  630 1.00199730 4.55716259  8048654       39
  640 1.00197117 4.55790458  8048767       38
  650 1.00194723 4.55986135  8041169       39
  660 1.00192402 4.56090796  8041551       37
  670 1.00190403 4.56047811  8038048       45
  680 1.00188294 4.56829035  8037654       37
  690 1.00186109 4.57300307  8050603       37
  700 1.00184207 4.57787732  8028468       39
  710 1.00182331 4.57621877  8036914       37
  720 1.00180479 4.57949393  8037818       38
  730 1.00178308 4.58101345  8052814       38
  740 1.00176284 4.57819355  8041392       38
  750 1.00174540 4.57655746  8038927       38
  760 1.00172816 4.57503826  8044079       37
  770 1.00170851 4.57565304  8037694       37
  780 1.00169192 4.57340827  8045300       38
  790 1.00167753 4.57197148  8043755       38
  800 1.00166113 4.57779349  8032933       39
  810 1.00164383 4.57359430  8045949       41
  820 1.00162774 4.57226909  8041224       38
  830 1.00161476 4.56876259  8040604       39
  840 1.00160143 4.56917116  8026849       37
  850 1.00158747 4.56714697  8027046       39
  860 1.00157163 4.56325584  8041921       37
  870 1.00156121 4.56190860  8040002       37
  880 1.00154841 4.56354745  8039644       40
  890 1.00153365 4.56143522  8036177       37
  900 1.00152406 4.56269544  8036645       38
  910 1.00151121 4.56351041  8035137       43
  920 1.00149658 4.56796993  8049473       38
  930 1.00148500 4.56564379  8032141       36
  940 1.00147404 4.56379227  8051973       40
  950 1.00146321 4.56644431  8033345       37
  960 1.00145271 4.56414966  8035048       43
  970 1.00144253 4.56367181  8048457       37
  980 1.00143321 4.56404287  8033101       39
  990 1.00142646 4.56292162  8042585       39
 1000 1.00141985 4.56364175  8036026       39
 1010 1.00140802 4.56244334  8039081       39
 1020 1.00139877 4.56054782  8038164       40
 1030 1.00138820 4.55953561  8037554       38
 1040 1.00137827 4.56005484  8033927       38
 1050 1.00136824 4.55671680  8050409       36
 1060 1.00135736 4.55648512  8030107       39
 1070 1.00134640 4.55492571  8029474       40
 1080 1.00133625 4.55407932  8045034       38
 1090 1.00132651 4.55362888  8034329       38
 1100 1.00131882 4.55606696  8024904       38
 1110 1.00131167 4.55737945  8039527       37
 1120 1.00130205 4.55526941  8026847       38
 1130 1.00129549 4.55895803  8025353       38
 1140 1.00128947 4.55981531  8034549       37
 1150 1.00128265 4.56322955  8043029       40
 1160 1.00127453 4.56448468  8051597       36
 1170 1.00126910 4.56439103  8048986       39
 1180 1.00126203 4.56264674  8034599       38
 1190 1.00125445 4.56222271  8049740       38
 1200 1.00124679 4.56284613  8048045       39
 1210 1.00124012 4.55945176  8048936       38
 1220 1.00123385 4.55910606  8035181       36
 1230 1.00122858 4.55764469  8042537       39
 1240 1.00122169 4.55480526  8048147       40
 1250 1.00121432 4.55838031  8046059       37
 1260 1.00120960 4.55750772  8040668       38
 1270 1.00120417 4.55725484  8040737       36
 1280 1.00119793 4.55698400  8047784       39
 1290 1.00119329 4.55550657  8047228       40
 1300 1.00118781 4.55438568  8037753       37
 1310 1.00118107 4.55681470  8040811       38
 1320 1.00117598 4.55353062  8043272       38
 1330 1.00116842 4.55229985  8043155       39
 1340 1.00116235 4.55248591  8032315       38
 1350 1.00115737 4.54984341  8052245       40
 1360 1.00115349 4.55170531  8063019       38
 1370 1.00114847 4.55074001  8052643       39
 1380 1.00114312 4.55060535  8032079       38
 1390 1.00113701 4.55267358  8044876       37
 1400 1.00113200 4.55037024  8055840       39
 1410 1.00112823 4.55164810  8033635       39
 1420 1.00112423 4.55187230  8043238       40
 1430 1.00111913 4.55050354  8034776       37
 1440 1.00111392 4.55089392  8049127       39
 1450 1.00111048 4.55192972  8046392       39
 1460 1.00110562 4.55372153  8030983       39
 1470 1.00110153 4.55293922  8040317       37
 1480 1.00109520 4.55346643  8039953       39
 1490 1.00109154 4.55461929  8038912       41
 1500 1.00108573 4.55206440  8045421       38
 1510 1.00108070 4.55202934  8044926       36
 1520 1.00107648 4.55318923  8042579       39
 1530 1.00107307 4.55291121  8032232       40
 1540 1.00106760 4.55168753  8053142       38
 1550 1.00106445 4.55045519  8044042       38
 1560 1.00105955 4.55120101  8054729       37
 1570 1.00105439 4.55037424  8046131       38
 1580 1.00105101 4.55067775  8064550       39
 1590 1.00104755 4.54760188  8036739       39
 1600 1.00104403 4.54854812  8037961       39
 1610 1.00104099 4.54788725  8025797       37
 1620 1.00103855 4.54934834  8037392       37
 1630 1.00103466 4.54979501  8025387       39
 1640 1.00103213 4.54927815  8042292       37
 1650 1.00102900 4.54853596  8030608       40
 1660 1.00102633 4.54954571  8033656       38
 1670 1.00102320 4.54800234  8053841       37
 1680 1.00101926 4.54623319  8033129       40
 1690 1.00101678 4.54568027  8042413       39
 1700 1.00101268 4.54618307  8048655       36
 1710 1.00101056 4.54693034  8035135       39
 1720 1.00100558 4.54612714  8037461       38
 1730 1.00100283 4.54623853  8033454       37
 1740 1.00100124 4.54426343  8044875       40
 1750 1.00099706 4.54409685  8034002       39
 1760 1.00099457 4.54507947  8035102       38
 1770 1.00099014 4.54609090  8052526       37
 1780 1.00098640 4.54487667  8056135       38
 1790 1.00098453 4.54329816  8044899       42
 1800 1.00098117 4.54314719  8055382       43
 1810 1.00097895 4.54455388  8042492       39
 1820 1.00097690 4.54334747  8032807       42
 1830 1.00097393 4.54110329  8034967       38
 1840 1.00097144 4.54199513  8026144       37
 1850 1.00096784 4.54027494  8031576       39
 1860 1.00096457 4.53970562  8046938       37
 1870 1.00096211 4.54035831  8033771       39
 1880 1.00095878 4.54091751  8039629       38
 1890 1.00095614 4.54128793  8041843       39
 1900 1.00095311 4.54126654  8037950       37
 1910 1.00095010 4.54184458  8041700       37
 1920 1.00094625 4.54174266  8051028       41
 1930 1.00094355 4.54170103  8029760       37
 1940 1.00094034 4.54140602  8040189       36
 1950 1.00093849 4.54121704  8050316       38
 1960 1.00093526 4.54212119  8045248       40
 1970 1.00093312 4.54227685  8029695       39
 1980 1.00093126 4.54362759  8037210       41
 1990 1.00092766 4.54456987  8047295       39
