#cycle        mu      sigmatransactionsmax interactions
   10 1.09990000 0.41786549  8893328      110
   20 1.05001000 0.45663175  8895460      111
   30 1.03337333 0.46755339  8895067      116
   40 1.02502500 0.46641537  8899749      115
   50 1.02004200 0.47709902  8897921      112
   60 1.01668000 0.47996819  8893787      110
   70 1.01430286 0.48089493  8896571      109
   80 1.01255375 0.48387672  8899003      111
   90 1.01113667 0.48407136  8897493      114
  100 1.01004300 0.48335929  8897712      112
  110 1.00909818 0.48384554  8891854      110
  120 1.00835750 0.48309486  8895783      113
  130 1.00772462 0.48205591  8894918      109
  140 1.00718286 0.48056230  8894214      110
  150 1.00670533 0.48124254  8894895      108
  160 1.00627938 0.48020304  8896908      109
  170 1.00590647 0.48117161  8894404      111
  180 1.00557500 0.48083711  8899287      109
  190 1.00527789 0.48105738  8896050      111
  200 1.00501850 0.48217709  8895128      117
  210 1.00478333 0.48217148  8894747      110
  220 1.00456000 0.48261727  8897540      115
  230 1.00436826 0.48320898  8893429      110
  240 1.00417833 0.48245040  8894838      113
  250 1.00401840 0.48176859  8896697      112
  260 1.00386731 0.48257741  8894018      107
  270 1.00372296 0.48250353  8892716      114
  280 1.00358679 0.48176255  8894515      110
  290 1.00346793 0.48264689  8894229      115
  300 1.00334800 0.48295064  8894110      111
  310 1.00323387 0.48349556  8894475      111
  320 1.00313844 0.48285323  8894370      112
  330 1.00304364 0.48288872  8898206      109
  340 1.00295500 0.48313805  8896707      110
  350 1.00287229 0.48349956  8894749      107
  360 1.00279250 0.48333822  8897587      109
  370 1.00271865 0.48355324  8895944      109
  380 1.00265605 0.48377670  8898529      110
  390 1.00259410 0.48349913  8900349      111
  400 1.00253375 0.48376039  8895184      114
  410 1.00247488 0.48363023  8898952      113
  420 1.00241929 0.48394804  8895787      112
  430 1.00237651 0.48402499  8895931      112
  440 1.00231750 0.48453003  8895230      113
  450 1.00226400 0.48479504  8893531      110
  460 1.00221630 0.48455721  8896659      113
  470 1.00216809 0.48459759  8899548      112
  480 1.00211500 0.48445875  8896621      111
  490 1.00206673 0.48467092  8899797      110
  500 1.00202340 0.48461048  8898445      112
  510 1.00198569 0.48465499  8899928      112
  520 1.00194942 0.48465932  8893802      116
  530 1.00191321 0.48460208  8897324      113
  540 1.00187222 0.48446262  8894998      110
  550 1.00183927 0.48423150  8895980      112
  560 1.00180429 0.48434543  8896787      116
  570 1.00176982 0.48453726  8899758      109
  580 1.00174328 0.48394714  8899245      112
  590 1.00171085 0.48366866  8895527      113
  600 1.00168633 0.48369998  8897765      113
  610 1.00166049 0.48357466  8895331      111
  620 1.00163274 0.48346375  8893909      109
  630 1.00160619 0.48402676  8893329      111
  640 1.00157922 0.48367687  8897081      107
  650 1.00155615 0.48390599  8893245      111
  660 1.00153242 0.48420954  8896948      113
  670 1.00151433 0.48396771  8899406      109
  680 1.00149029 0.48363474  8892731      112
  690 1.00147072 0.48372480  8893975      110
  700 1.00145071 0.48334955  8895043      114
  710 1.00143338 0.48330314  8893198      111
  720 1.00141569 0.48374172  8896182      113
  730 1.00139425 0.48350356  8894851      109
  740 1.00137662 0.48323098  8894863      113
  750 1.00135320 0.48338068  8894827      110
  760 1.00133711 0.48327680  8894694      110
  770 1.00131571 0.48385322  8895205      110
  780 1.00130385 0.48406541  8896454      110
  790 1.00128582 0.48425328  8895164      114
  800 1.00126425 0.48460746  8893204      113
  810 1.00124753 0.48421826  8895768      110
  820 1.00123841 0.48425209  8895760      113
  830 1.00122000 0.48393975  8895801      110
  840 1.00120310 0.48398378  8897330      108
  850 1.00118706 0.48405721  8896392      112
  860 1.00117163 0.48405951  8894723      109
  870 1.00115989 0.48392115  8896024      109
  880 1.00114386 0.48380156  8895718      111
  890 1.00113112 0.48380291  8896822      111
  900 1.00111933 0.48373262  8895416      114
  910 1.00110692 0.48381298  8895937      112
  920 1.00109565 0.48370602  8896063      116
  930 1.00107978 0.48375158  8893619      114
  940 1.00106840 0.48342026  8897162      119
  950 1.00105863 0.48395424  8893970      108
  960 1.00104812 0.48420374  8895812      110
  970 1.00103845 0.48443707  8896991      113
  980 1.00102837 0.48430734  8896516      109
  990 1.00101576 0.48446734  8890672      115
 1000 1.00100220 0.48448337  8894145      108
 1010 1.00099119 0.48440078  8896230      110
 1020 1.00098147 0.48433546  8894977      113
 1030 1.00097320 0.48422260  8893106      108
 1040 1.00096760 0.48441959  8899238      109
 1050 1.00095476 0.48434824  8903058      109
 1060 1.00094745 0.48443634  8894336      116
 1070 1.00094047 0.48463027  8894915      110
 1080 1.00093167 0.48455435  8895086      115
 1090 1.00092514 0.48480511  8895681      110
 1100 1.00091700 0.48484096  8896139      109
 1110 1.00090757 0.48494960  8896025      113
 1120 1.00089821 0.48465026  8894912      113
 1130 1.00088850 0.48468068  8896126      110
 1140 1.00088035 0.48471674  8899731      114
 1150 1.00087287 0.48467917  8899143      115
 1160 1.00086500 0.48450345  8894051      112
 1170 1.00085709 0.48461025  8896393      111
 1180 1.00084975 0.48466193  8894126      116
 1190 1.00084345 0.48476980  8900255      116
 1200 1.00083742 0.48483064  8893906      116
 1210 1.00083041 0.48505193  8897321      112
 1220 1.00082352 0.48545768  8898228      109
 1230 1.00081821 0.48543084  8896215      112
 1240 1.00081435 0.48529748  8895636      109
 1250 1.00080624 0.48506809  8894532      108
 1260 1.00079794 0.48506407  8894819      116
 1270 1.00078898 0.48532903  8896547      114
 1280 1.00078438 0.48508516  8895249      111
 1290 1.00077907 0.48529675  8894603      111
 1300 1.00077285 0.48530067  8898244      109
 1310 1.00076504 0.48521944  8893842      115
 1320 1.00075985 0.48511647  8893691      119
 1330 1.00075617 0.48511506  8894749      111
 1340 1.00074970 0.48500640  8896804      107
 1350 1.00074541 0.48518928  8895083      110
