#cycle        mu      sigmatransactionsmax interactions
   10 1.10041000 0.99600233  9903889       44
   20 1.05042250 1.00602607  9903470       45
   30 1.03371000 1.01222997  9903535       46
   40 1.02537625 1.00336480  9902589       44
   50 1.02038500 1.00085665  9903641       47
   60 1.01702500 1.00637990  9904057       46
   70 1.01460714 1.00736677  9903111       44
   80 1.01282750 1.00576989  9903341       48
   90 1.01144333 1.00972911  9904050       44
  100 1.01030250 1.00965581  9903766       44
  110 1.00937500 1.00526447  9903582       47
  120 1.00860458 1.00207184  9903908       47
  130 1.00794538 1.00105695  9903751       44
  140 1.00738000 1.00091171  9903129       43
  150 1.00690567 0.99924181  9903777       43
  160 1.00648281 0.99867975  9903449       43
  170 1.00609765 0.99729847  9903520       42
  180 1.00577306 0.99753637  9902997       46
  190 1.00548132 0.99762946  9903667       43
  200 1.00520725 0.99768646  9902854       43
  210 1.00496452 0.99722278  9903437       45
  220 1.00474273 0.99895407  9903530       45
  230 1.00454022 0.99921065  9903202       43
  240 1.00435667 0.99867371  9903138       45
  250 1.00419140 0.99859713  9903388       43
  260 1.00404538 0.99879275  9903396       43
  270 1.00390722 0.99773823  9902737       46
  280 1.00377875 0.99890952  9903263       44
  290 1.00364241 0.99909009  9903200       44
  300 1.00353200 0.99875712  9903467       43
  310 1.00342161 0.99837829  9903930       46
  320 1.00331813 0.99809041  9903154       45
  330 1.00322288 0.99876572  9902664       46
  340 1.00313382 0.99878356  9903818       45
  350 1.00305486 0.99962257  9903092       43
  360 1.00298333 1.00006422  9903751       44
  370 1.00291419 1.00071708  9903958       44
  380 1.00283987 1.00019247  9903966       44
  390 1.00276795 1.00116185  9904062       43
  400 1.00270875 1.00088871  9904086       43
  410 1.00264488 1.00076129  9903699       43
  420 1.00258500 1.00067128  9903514       45
  430 1.00253198 1.00134440  9903041       43
  440 1.00248170 1.00054407  9903527       44
  450 1.00243267 1.00108716  9903377       48
  460 1.00238848 1.00052070  9903422       44
  470 1.00234053 1.00044375  9903083       43
  480 1.00229729 1.00002393  9903383       46
  490 1.00225571 0.99981462  9903257       44
  500 1.00220960 0.99975945  9903806       45
  510 1.00217588 0.99920249  9904082       47
  520 1.00213856 0.99916927  9903310       45
  530 1.00211019 0.99895902  9902986       44
  540 1.00207426 0.99928164  9903554       46
  550 1.00204182 0.99943691  9903808       43
  560 1.00201295 0.99881117  9904310       46
  570 1.00197798 0.99884280  9903441       43
  580 1.00194474 0.99946661  9904210       44
