#cycle        mu      sigmatransactionsmax interactions
   10 1.09990500 0.16787099  9978630       46
   20 1.04990500 0.21029699  9978763       44
   30 1.03323333 0.22435471  9978557       45
   40 1.02497500 0.22999312  9978561       42
   50 1.01996800 0.23427078  9978487       45
   60 1.01661750 0.23611844  9978800       43
   70 1.01424429 0.23878817  9978881       43
   80 1.01248000 0.24156031  9978487       44
   90 1.01108944 0.24214652  9978851       44
  100 1.00999550 0.24281404  9978851       43
  110 1.00907818 0.24354281  9979062       43
  120 1.00832583 0.24417443  9978717       45
  130 1.00769500 0.24457490  9978529       48
  140 1.00713929 0.24508532  9978832       44
  150 1.00666233 0.24555441  9979103       44
  160 1.00624281 0.24616371  9978690       43
  170 1.00588559 0.24636942  9978580       45
  180 1.00555833 0.24633197  9978360       43
  190 1.00526526 0.24613670  9978731       43
  200 1.00500600 0.24620504  9978641       51
  210 1.00475381 0.24655097  9978703       43
  220 1.00454045 0.24678282  9978865       43
  230 1.00434457 0.24696204  9978708       44
  240 1.00416125 0.24709681  9978363       44
  250 1.00400120 0.24727967  9978938       43
  260 1.00384538 0.24753892  9978840       43
  270 1.00369093 0.24756962  9978595       46
  280 1.00355232 0.24772868  9978904       43
  290 1.00342638 0.24768892  9978697       47
  300 1.00331067 0.24792811  9978583       44
  310 1.00320065 0.24808488  9978916       44
  320 1.00309125 0.24824926  9978733       44
  330 1.00300212 0.24822752  9978971       44
  340 1.00291412 0.24833542  9978966       50
  350 1.00283014 0.24848460  9978698       47
  360 1.00275181 0.24847826  9978562       44
  370 1.00268676 0.24858950  9978447       44
  380 1.00261553 0.24860867  9978503       47
  390 1.00255269 0.24870886  9978525       43
  400 1.00248863 0.24883276  9978561       44
  410 1.00242598 0.24897692  9978509       45
  420 1.00236917 0.24896314  9978570       46
  430 1.00231593 0.24894382  9978719       43
  440 1.00225875 0.24896415  9978498       44
  450 1.00221089 0.24898467  9978782       44
  460 1.00216359 0.24894219  9978600       43
  470 1.00211160 0.24905790  9978461       45
  480 1.00207427 0.24911036  9978283       44
  490 1.00202510 0.24913467  9978705       46
  500 1.00198430 0.24912245  9978799       43
  510 1.00194451 0.24911100  9978691       44
  520 1.00190837 0.24917554  9978450       44
  530 1.00187528 0.24925971  9978816       45
  540 1.00183639 0.24928541  9978784       45
  550 1.00180700 0.24918082  9978884       47
  560 1.00177384 0.24923894  9978615       43
  570 1.00173851 0.24928164  9978734       43
