#cycle        mu      sigmatransactionsmax interactions
   10 1.10025000 1.34281444  8987622      116
   20 1.05021500 1.33558420  8988594      115
   30 1.03365333 1.35302929  8988328      121
   40 1.02533750 1.35565864  8988161      113
   50 1.02028600 1.34501938  8988145      114
   60 1.01698833 1.35779331  8988954      110
   70 1.01458714 1.35954029  8988599      112
   80 1.01279125 1.36033620  8991039      110
   90 1.01133111 1.36179277  8987148      110
  100 1.01022200 1.37164806  8990146      114
  110 1.00931818 1.36476149  8989811      113
  120 1.00857167 1.36615098  8987715      111
  130 1.00792615 1.36860468  8986381      108
  140 1.00737429 1.36154687  8988241      113
  150 1.00688733 1.36057260  8987964      113
  160 1.00646188 1.35873309  8987845      111
  170 1.00609706 1.35889162  8988348      112
  180 1.00576611 1.35999556  8988997      114
  190 1.00549053 1.36211156  8988006      112
  200 1.00524600 1.36049075  8988025      113
  210 1.00500857 1.35749441  8985864      114
  220 1.00478545 1.36190062  8986596      114
  230 1.00459304 1.36047727  8989650      109
  240 1.00441875 1.35807950  8988299      114
  250 1.00426240 1.35702001  8988167      110
  260 1.00412538 1.35795996  8988130      112
  270 1.00398630 1.35832798  8986989      112
  280 1.00385214 1.35814557  8988230      111
  290 1.00373517 1.35866396  8989028      112
  300 1.00361600 1.36010727  8988057      114
  310 1.00351097 1.35879514  8988517      110
  320 1.00340688 1.36023822  8988668      115
  330 1.00331333 1.35928113  8986367      111
  340 1.00321618 1.35829026  8988110      114
  350 1.00313543 1.35842721  8990014      114
  360 1.00306500 1.35840659  8987145      113
  370 1.00299054 1.36049764  8987153      112
  380 1.00291079 1.36014459  8989956      110
  390 1.00284128 1.35871930  8989123      118
  400 1.00278425 1.35900309  8987573      110
  410 1.00272073 1.35907293  8991040      110
  420 1.00265310 1.35950623  8987681      114
  430 1.00259116 1.36008660  8989323      116
  440 1.00254091 1.35966083  8990741      111
  450 1.00248956 1.35797721  8987326      114
  460 1.00243848 1.35653002  8989135      116
  470 1.00239915 1.35650251  8987413      113
  480 1.00234896 1.35599716  8987041      111
  490 1.00230204 1.35703030  8989304      118
  500 1.00225780 1.35703427  8989836      113
  510 1.00222118 1.35679668  8987151      108
  520 1.00218192 1.35694606  8987487      113
  530 1.00214302 1.35810976  8986392      109
  540 1.00210444 1.35782421  8989548      112
  550 1.00206800 1.35845221  8986959      115
  560 1.00203911 1.35749949  8986865      115
  570 1.00200895 1.35873534  8987621      112
  580 1.00198086 1.35931760  8987760      111
  590 1.00195322 1.35934275  8987089      112
  600 1.00193017 1.35916870  8988622      112
  610 1.00190426 1.35970271  8989112      111
  620 1.00188306 1.35898124  8990774      111
  630 1.00186079 1.35871801  8985734      115
  640 1.00183750 1.35886863  8989328      115
  650 1.00181338 1.35872793  8988115      111
  660 1.00178939 1.35757164  8987380      113
