#cycle        mu      sigmatransactionsmax interactions
   10 1.10042500 1.05056832  9864630       45
   20 1.05025250 1.02936294  9864556       45
   30 1.03358333 1.02352933  9863775       43
   40 1.02527000 1.02065780  9864464       47
   50 1.02026500 1.01619453  9864626       45
   60 1.01690167 1.01181400  9864713       43
   70 1.01452571 1.00746079  9864603       44
   80 1.01276063 1.00569404  9864888       44
   90 1.01136833 1.00305565  9864509       45
  100 1.01025050 1.00231728  9865278       44
  110 1.00935273 1.00641680  9863925       47
  120 1.00860000 1.00624625  9864661       43
  130 1.00794500 1.00707688  9864828       42
  140 1.00739286 1.00749324  9864158       45
  150 1.00691867 1.00708263  9865088       42
  160 1.00651469 1.00713968  9864661       43
  170 1.00613441 1.00620787  9864606       43
  180 1.00580917 1.00499245  9864648       44
  190 1.00553474 1.00398384  9864552       44
  200 1.00525100 1.00388248  9864339       43
  210 1.00501381 1.00491746  9863963       45
  220 1.00478159 1.00510341  9864935       43
  230 1.00458304 1.00596026  9864290       46
  240 1.00439604 1.00681020  9864615       46
  250 1.00422780 1.00643707  9863969       42
  260 1.00407269 1.00650124  9863942       43
  270 1.00392741 1.00518011  9863518       45
  280 1.00379321 1.00432652  9864500       44
  290 1.00367000 1.00414110  9865165       43
  300 1.00354833 1.00441101  9864198       44
  310 1.00344371 1.00463430  9864305       45
  320 1.00334047 1.00440489  9864280       44
  330 1.00324106 1.00340253  9864990       46
  340 1.00315338 1.00288332  9864153       44
  350 1.00306871 1.00370057  9864778       47
  360 1.00299167 1.00305712  9864206       44
  370 1.00292230 1.00207800  9863921       43
  380 1.00285461 1.00228298  9864374       43
  390 1.00278603 1.00267430  9864682       45
  400 1.00272125 1.00298656  9864409       43
  410 1.00265805 1.00320651  9863994       43
  420 1.00260500 1.00347511  9865248       47
  430 1.00255081 1.00281250  9864382       43
  440 1.00249943 1.00199163  9864504       44
  450 1.00244533 1.00199566  9864870       42
  460 1.00239815 1.00177638  9864327       44
  470 1.00235096 1.00148415  9864935       48
  480 1.00230781 1.00108528  9865178       44
  490 1.00226571 1.00079128  9864690       45
  500 1.00223320 1.00014347  9865195       43
  510 1.00219529 1.00056883  9865390       42
  520 1.00215913 1.00055591  9865015       48
  530 1.00211585 1.00068549  9864885       46
