#cycle        mu      sigmatransactionsmax interactions
   10 1.10004500 0.16406950  9978585       46
   20 1.05001000 0.21034750  9978868       44
   30 1.03336833 0.22459589  9978556       45
   40 1.02502000 0.23140600  9978729       44
   50 1.02006800 0.23419768  9979049       44
   60 1.01673417 0.23734955  9978711       45
   70 1.01436571 0.23992463  9978762       44
   80 1.01256438 0.24176670  9978841       44
   90 1.01116778 0.24258245  9978295       43
  100 1.01005850 0.24364608  9978946       44
  110 1.00914545 0.24401486  9978370       45
  120 1.00839833 0.24411213  9978554       45
  130 1.00773923 0.24442964  9978510       44
  140 1.00718179 0.24439731  9978789       44
  150 1.00671067 0.24461793  9978832       43
  160 1.00627500 0.24487544  9978598       42
  170 1.00589735 0.24531993  9978554       43
  180 1.00557444 0.24567479  9978415       44
  190 1.00528500 0.24568794  9978587       44
  200 1.00502350 0.24606696  9978752       48
  210 1.00478071 0.24595848  9978553       45
  220 1.00456705 0.24620126  9978768       43
  230 1.00435587 0.24637927  9978703       43
  240 1.00417729 0.24650172  9978724       43
  250 1.00402040 0.24653352  9978819       44
  260 1.00386115 0.24656148  9978719       44
  270 1.00372167 0.24668639  9978531       45
  280 1.00357857 0.24686069  9978373       44
  290 1.00345966 0.24720638  9978706       42
  300 1.00333733 0.24740970  9978556       46
  310 1.00322419 0.24746304  9978725       45
  320 1.00311625 0.24764707  9978798       43
  330 1.00301924 0.24766098  9978588       42
  340 1.00293456 0.24789721  9978820       45
  350 1.00285857 0.24791431  9978769       45
  360 1.00277597 0.24808788  9978639       47
  370 1.00270514 0.24824447  9978686       45
  380 1.00263513 0.24829798  9978788       46
  390 1.00257397 0.24813084  9978494       43
  400 1.00251038 0.24830436  9978440       44
  410 1.00244512 0.24837791  9978811       44
  420 1.00238881 0.24837315  9978752       44
  430 1.00233198 0.24838928  9978778       44
  440 1.00227852 0.24838649  9978784       43
  450 1.00221756 0.24829330  9978472       46
  460 1.00216946 0.24820009  9978653       48
  470 1.00212298 0.24829205  9978597       45
  480 1.00207323 0.24833594  9978863       44
  490 1.00203500 0.24834795  9978862       44
  500 1.00199640 0.24837476  9978817       45
  510 1.00195912 0.24836080  9978478       50
  520 1.00191462 0.24834673  9978650       45
  530 1.00187962 0.24841797  9979006       44
  540 1.00184565 0.24848538  9978604       42
  550 1.00181273 0.24847801  9978871       44
  560 1.00178036 0.24854879  9978763       44
  570 1.00175132 0.24860780  9978372       46
  580 1.00172112 0.24861469  9978637       46
  590 1.00169203 0.24875388  9978676       45
  600 1.00166250 0.24878307  9978287       44
  610 1.00163115 0.24887584  9978535       44
  620 1.00160613 0.24885753  9978732       50
  630 1.00158421 0.24886980  9978754       43
  640 1.00156188 0.24883285  9978641       43
  650 1.00153677 0.24887192  9978738       45
  660 1.00151220 0.24878396  9978614       43
  670 1.00149015 0.24889017  9978835       46
  680 1.00146669 0.24890549  9978579       43
  690 1.00144123 0.24897046  9978656       44
  700 1.00142129 0.24894382  9978488       43
  710 1.00140113 0.24889083  9978736       46
  720 1.00138458 0.24884960  9978756       45
  730 1.00136493 0.24888576  9978486       45
  740 1.00134608 0.24892159  9978826       46
  750 1.00132713 0.24890301  9978950       43
  760 1.00131211 0.24892102  9978677       45
  770 1.00129701 0.24898988  9978719       44
  780 1.00127885 0.24902345  9978716       44
  790 1.00126475 0.24906803  9978822       44
  800 1.00125231 0.24912519  9978595       44
  810 1.00123519 0.24911269  9978777       43
  820 1.00122043 0.24920358  9978756       47
  830 1.00120711 0.24925396  9978735       44
  840 1.00119298 0.24935114  9978725       43
  850 1.00117876 0.24934516  9978650       46
  860 1.00116390 0.24933052  9978828       42
  870 1.00114891 0.24936475  9978859       48
  880 1.00113517 0.24935650  9978689       42
  890 1.00112163 0.24933031  9979097       43
  900 1.00111067 0.24933249  9978356       42
  910 1.00110049 0.24923793  9978731       45
  920 1.00108788 0.24934478  9978461       44
  930 1.00107505 0.24939820  9978845       43
  940 1.00106463 0.24940272  9978914       44
  950 1.00105326 0.24948848  9979095       43
  960 1.00104208 0.24953116  9978824       43
  970 1.00102933 0.24955949  9978924       45
  980 1.00101913 0.24958973  9978747       43
  990 1.00100955 0.24955998  9978716       46
 1000 1.00099720 0.24954522  9978726       46
 1010 1.00098856 0.24955961  9978775       44
 1020 1.00097775 0.24961902  9978713       44
 1030 1.00096917 0.24960268  9978702       43
 1040 1.00095673 0.24954929  9978680       45
 1050 1.00094543 0.24953338  9978877       43
 1060 1.00093807 0.24948800  9978791       44
 1070 1.00093084 0.24948976  9978828       44
 1080 1.00091968 0.24954051  9978375       43
 1090 1.00091225 0.24952525  9978574       45
 1100 1.00090455 0.24959284  9978860       43
 1110 1.00089550 0.24960212  9978748       43
 1120 1.00088629 0.24958907  9978727       44
 1130 1.00088031 0.24956651  9978863       42
 1140 1.00087447 0.24953048  9978836       45
 1150 1.00086752 0.24945129  9978559       43
 1160 1.00085961 0.24942633  9978832       45
 1170 1.00085197 0.24940001  9978895       46
 1180 1.00084517 0.24937662  9978454       46
 1190 1.00083836 0.24938421  9978611       45
 1200 1.00083242 0.24942359  9978360       44
 1210 1.00082537 0.24941664  9978872       43
 1220 1.00081713 0.24945084  9978302       45
 1230 1.00080980 0.24944290  9978934       46
 1240 1.00080520 0.24943010  9978506       45
 1250 1.00079988 0.24947237  9978811       48
 1260 1.00079532 0.24954231  9978550       44
 1270 1.00078929 0.24957114  9979066       45
 1280 1.00078105 0.24959060  9978740       43
 1290 1.00077492 0.24955829  9978685       44
 1300 1.00076827 0.24957613  9978954       43
 1310 1.00075985 0.24956700  9978843       46
 1320 1.00075424 0.24956354  9978670       44
 1330 1.00074786 0.24954252  9978821       45
 1340 1.00074078 0.24957041  9978771       45
 1350 1.00073426 0.24958691  9978451       46
 1360 1.00072857 0.24958942  9979101       43
 1370 1.00072387 0.24962756  9978864       42
 1380 1.00071775 0.24964703  9978797       45
 1390 1.00071173 0.24965890  9978714       43
 1400 1.00070575 0.24962987  9978724       44
 1410 1.00069922 0.24968347  9978575       45
 1420 1.00069454 0.24972652  9979130       46
 1430 1.00069021 0.24976325  9978743       44
 1440 1.00068625 0.24978829  9978805       45
 1450 1.00067997 0.24980640  9978467       46
 1460 1.00067500 0.24980694  9978880       45
 1470 1.00067102 0.24976114  9978590       43
 1480 1.00066557 0.24978197  9978561       45
 1490 1.00066255 0.24977416  9978870       42
 1500 1.00065930 0.24975697  9978918       43
 1510 1.00065583 0.24976297  9978679       44
 1520 1.00064990 0.24975905  9978989       44
 1530 1.00064605 0.24974914  9978564       43
 1540 1.00064195 0.24976116  9978339       44
 1550 1.00063723 0.24974616  9978383       42
 1560 1.00063234 0.24971885  9978570       48
 1570 1.00062815 0.24974709  9978793       44
 1580 1.00062453 0.24974846  9978749       44
 1590 1.00061918 0.24976434  9978610       45
 1600 1.00061569 0.24977491  9978670       44
 1610 1.00061043 0.24977553  9978988       44
 1620 1.00060605 0.24975130  9978679       47
 1630 1.00060184 0.24973475  9978718       44
 1640 1.00059799 0.24971154  9978572       44
 1650 1.00059476 0.24973954  9978363       43
 1660 1.00059114 0.24976060  9978775       43
 1670 1.00058778 0.24977376  9978929       46
 1680 1.00058506 0.24979038  9978464       43
 1690 1.00058178 0.24982109  9978694       43
 1700 1.00057856 0.24985247  9978419       45
 1710 1.00057558 0.24986038  9978597       44
 1720 1.00057235 0.24986775  9978488       43
 1730 1.00057029 0.24985108  9978913       47
 1740 1.00056672 0.24985778  9978901       47
 1750 1.00056409 0.24984400  9978563       46
 1760 1.00056148 0.24980779  9978634       42
 1770 1.00055794 0.24977926  9978577       45
 1780 1.00055531 0.24977242  9978579       45
 1790 1.00055226 0.24974932  9978865       45
 1800 1.00054989 0.24973120  9978704       44
 1810 1.00054655 0.24971054  9978821       44
 1820 1.00054338 0.24971913  9978431       44
 1830 1.00054172 0.24970088  9978477       44
 1840 1.00053834 0.24971856  9978566       42
 1850 1.00053378 0.24975740  9978897       43
 1860 1.00053231 0.24974406  9978771       43
 1870 1.00052952 0.24977237  9978783       45
 1880 1.00052646 0.24979729  9978553       46
 1890 1.00052339 0.24978677  9978537       43
 1900 1.00052113 0.24977645  9978706       45
 1910 1.00051798 0.24978439  9978540       45
 1920 1.00051609 0.24977248  9978750       43
 1930 1.00051238 0.24981357  9978620       43
 1940 1.00050951 0.24980311  9979076       44
 1950 1.00050777 0.24980104  9978808       44
 1960 1.00050566 0.24979700  9978561       44
 1970 1.00050396 0.24981075  9978707       43
 1980 1.00050025 0.24983333  9978959       46
 1990 1.00049721 0.24986787  9978717       43
