#cycle        mu      sigmatransactionsmax interactions
   10 1.09992500 0.16509299  9959260       43
   20 1.04976000 0.20876894  9958666       43
   30 1.03318167 0.22493714  9959161       44
   40 1.02493250 0.23089225  9959198       44
   50 1.01996000 0.23458140  9959085       44
   60 1.01663583 0.23709158  9959340       44
   70 1.01425143 0.23819725  9959053       45
   80 1.01250438 0.23950102  9959099       44
   90 1.01112444 0.24102930  9958335       42
  100 1.01001750 0.24198545  9959111       42
  110 1.00909455 0.24320261  9958484       45
  120 1.00833125 0.24391755  9958820       42
  130 1.00769462 0.24447195  9958790       45
  140 1.00712714 0.24512353  9958441       42
  150 1.00666367 0.24490016  9958873       44
  160 1.00624437 0.24521148  9959117       53
  170 1.00587441 0.24548561  9958509       45
  180 1.00554306 0.24572089  9959347       43
  190 1.00525053 0.24612712  9958608       44
  200 1.00499100 0.24590149  9959138       44
  210 1.00474952 0.24623689  9959000       43
  220 1.00453386 0.24652342  9958979       46
  230 1.00433522 0.24683401  9959171       45
  240 1.00416187 0.24692326  9958945       44
  250 1.00400180 0.24742683  9959375       43
  260 1.00385019 0.24761993  9958954       45
  270 1.00370759 0.24782846  9958861       43
  280 1.00357321 0.24766873  9959388       44
  290 1.00345397 0.24746450  9958375       48
  300 1.00333367 0.24773584  9958938       45
  310 1.00323226 0.24792217  9958550       44
  320 1.00313234 0.24803775  9958876       42
  330 1.00304015 0.24827415  9958632       44
  340 1.00293912 0.24830313  9959447       48
  350 1.00285829 0.24830202  9958959       42
  360 1.00278194 0.24833657  9958833       45
  370 1.00270365 0.24820614  9959280       45
  380 1.00262855 0.24817809  9958373       44
  390 1.00256346 0.24806479  9959113       44
  400 1.00249238 0.24808790  9958578       44
  410 1.00243073 0.24826112  9959647       46
  420 1.00237536 0.24837706  9958866       47
  430 1.00231337 0.24833863  9959037       43
  440 1.00225534 0.24842290  9959217       43
  450 1.00220556 0.24860397  9959047       44
  460 1.00215707 0.24851979  9959178       45
  470 1.00211074 0.24865193  9959346       44
  480 1.00206646 0.24882200  9958820       44
  490 1.00202551 0.24878753  9958741       46
  500 1.00198390 0.24883583  9959310       44
  510 1.00194627 0.24901321  9959102       45
  520 1.00190952 0.24903855  9958726       43
  530 1.00187321 0.24902468  9958664       43
  540 1.00184074 0.24896590  9958875       46
  550 1.00180755 0.24895140  9958899       44
  560 1.00177616 0.24898924  9959088       46
  570 1.00174982 0.24898534  9959192       42
  580 1.00172336 0.24904623  9959218       45
  590 1.00169542 0.24906435  9959326       43
  600 1.00166833 0.24919066  9958730       45
  610 1.00164172 0.24936649  9958770       47
  620 1.00161710 0.24931591  9958760       46
  630 1.00159230 0.24929767  9958751       44
  640 1.00156859 0.24936484  9959329       44
  650 1.00154431 0.24933246  9959043       44
  660 1.00152235 0.24932532  9958975       45
  670 1.00149746 0.24931524  9958983       43
  680 1.00147324 0.24940851  9958743       44
  690 1.00145355 0.24946093  9959218       42
  700 1.00143121 0.24951269  9958998       43
  710 1.00140923 0.24952732  9958308       43
  720 1.00138743 0.24945715  9959405       48
  730 1.00137000 0.24943591  9958897       43
  740 1.00135169 0.24947711  9959119       46
  750 1.00133453 0.24952893  9959085       44
  760 1.00131776 0.24955289  9959165       43
  770 1.00129695 0.24959949  9959139       43
  780 1.00128090 0.24962133  9959176       43
  790 1.00126329 0.24970449  9958946       43
  800 1.00124838 0.24971453  9958620       43
  810 1.00123364 0.24969699  9959200       43
  820 1.00122012 0.24970245  9959406       43
  830 1.00120404 0.24971813  9959087       46
  840 1.00119065 0.24977073  9958931       44
  850 1.00117771 0.24975231  9958975       44
  860 1.00116267 0.24974873  9958834       48
  870 1.00114810 0.24972018  9958410       43
  880 1.00113483 0.24974108  9959113       44
  890 1.00112112 0.24979438  9959115       48
  900 1.00110539 0.24977180  9958846       45
  910 1.00109698 0.24971527  9959192       44
  920 1.00108375 0.24974184  9958999       46
  930 1.00107231 0.24971853  9958786       46
  940 1.00105952 0.24975127  9958493       45
  950 1.00104716 0.24971756  9958950       44
  960 1.00103646 0.24972620  9958798       44
  970 1.00102912 0.24974490  9959354       49
  980 1.00101796 0.24972602  9959081       45
  990 1.00100753 0.24968281  9958560       43
 1000 1.00099810 0.24970522  9958647       44
 1010 1.00098886 0.24971987  9959084       46
 1020 1.00097946 0.24975402  9959129       43
 1030 1.00097010 0.24975130  9958278       45
 1040 1.00095808 0.24974434  9958590       46
 1050 1.00094833 0.24981920  9958919       42
 1060 1.00093896 0.24978985  9958613       45
 1070 1.00092921 0.24978885  9959282       45
 1080 1.00091843 0.24979758  9958107       43
 1090 1.00090913 0.24980039  9959368       42
 1100 1.00090118 0.24977496  9959238       49
 1110 1.00089306 0.24978255  9959642       46
 1120 1.00088429 0.24982894  9959572       45
 1130 1.00087704 0.24985335  9959188       46
 1140 1.00086877 0.24985243  9958910       42
 1150 1.00086122 0.24990410  9958701       44
 1160 1.00085539 0.24989705  9958856       45
 1170 1.00084594 0.24987851  9959139       46
 1180 1.00083822 0.24985410  9958853       42
 1190 1.00082950 0.24988184  9959182       45
 1200 1.00082238 0.24987208  9959202       43
 1210 1.00081570 0.24988862  9958727       43
 1220 1.00080754 0.24987671  9958979       44
 1230 1.00080049 0.24988603  9958902       45
 1240 1.00079250 0.24990046  9958495       44
 1250 1.00078632 0.24983497  9959285       44
 1260 1.00077980 0.24977298  9959206       45
 1270 1.00077437 0.24978015  9959084       44
 1280 1.00076812 0.24976598  9958400       44
 1290 1.00076182 0.24974232  9959449       42
 1300 1.00075792 0.24979863  9958585       42
 1310 1.00075088 0.24980208  9958773       44
 1320 1.00074591 0.24982070  9958258       47
 1330 1.00073940 0.24981602  9958875       43
 1340 1.00073347 0.24986398  9959343       44
 1350 1.00072956 0.24989059  9959001       43
 1360 1.00072489 0.24994493  9958676       49
 1370 1.00072000 0.24995112  9958616       43
 1380 1.00071616 0.24989083  9959005       44
 1390 1.00071137 0.24995436  9958850       47
 1400 1.00070743 0.24995606  9958906       43
 1410 1.00070142 0.24995307  9958623       45
 1420 1.00069458 0.24993220  9958889       47
 1430 1.00069038 0.24989878  9959064       47
 1440 1.00068573 0.24989321  9959545       44
 1450 1.00068159 0.24990905  9959070       43
 1460 1.00067640 0.24989698  9959005       47
 1470 1.00067361 0.24986836  9959160       44
 1480 1.00066736 0.24991706  9958703       45
 1490 1.00066346 0.24990462  9958511       44
 1500 1.00065923 0.24992207  9958684       46
 1510 1.00065629 0.24991078  9958856       45
 1520 1.00065115 0.24995439  9958510       45
 1530 1.00064706 0.24992702  9958440       43
 1540 1.00064370 0.24993615  9958796       42
 1550 1.00063981 0.24996285  9958485       43
 1560 1.00063599 0.24995321  9958786       43
 1570 1.00063213 0.24996386  9958949       43
 1580 1.00062861 0.24998114  9958880       42
 1590 1.00062459 0.24999356  9959413       44
 1600 1.00062097 0.24995921  9959041       49
 1610 1.00061540 0.24995180  9959358       43
 1620 1.00061173 0.24992485  9959238       46
 1630 1.00060969 0.24993338  9958139       42
 1640 1.00060619 0.24988444  9958813       43
 1650 1.00060209 0.24990108  9959389       44
 1660 1.00059867 0.24984961  9959418       43
 1670 1.00059488 0.24984920  9959117       44
 1680 1.00058970 0.24988586  9959293       42
 1690 1.00058592 0.24988142  9958787       43
 1700 1.00058250 0.24986480  9958536       43
 1710 1.00057971 0.24989435  9958639       44
 1720 1.00057602 0.24988983  9958846       44
 1730 1.00057303 0.24988111  9959311       44
 1740 1.00057006 0.24986574  9959288       46
 1750 1.00056806 0.24990086  9958916       43
 1760 1.00056548 0.24987266  9959012       44
 1770 1.00056234 0.24986001  9958799       45
 1780 1.00055978 0.24986416  9959171       45
 1790 1.00055626 0.24985641  9959381       43
 1800 1.00055317 0.24986838  9959302       46
 1810 1.00055033 0.24988117  9958616       46
 1820 1.00054723 0.24987165  9959352       45
 1830 1.00054358 0.24986167  9959207       44
 1840 1.00054114 0.24983767  9958559       44
 1850 1.00053792 0.24984889  9959242       45
 1860 1.00053640 0.24987306  9958551       44
 1870 1.00053235 0.24988945  9958986       43
 1880 1.00053056 0.24993328  9959086       43
 1890 1.00052905 0.24993596  9959335       46
 1900 1.00052616 0.24998747  9959298       43
 1910 1.00052421 0.24999666  9958873       43
 1920 1.00052117 0.24998257  9959304       44
 1930 1.00051922 0.24999656  9958528       42
 1940 1.00051564 0.25002161  9958596       46
 1950 1.00051308 0.25005035  9958455       42
 1960 1.00051033 0.25002447  9958845       44
 1970 1.00050825 0.25004013  9959051       44
 1980 1.00050447 0.25002760  9959377       44
 1990 1.00050138 0.25003610  9959065       44
