#cycle        mu      sigmatransactionsmax interactions
   10 1.10038000 0.24170736  9503585      118
   20 1.05008000 0.28025974  9502879      117
   30 1.03329667 0.29235417  9504433      115
   40 1.02504750 0.29805250  9503454      116
   50 1.02005600 0.30021126  9505295      120
   60 1.01665167 0.30178814  9505148      115
   70 1.01426143 0.30309711  9503546      118
   80 1.01243750 0.30576837  9502723      119
   90 1.01105000 0.30733162  9504331      118
  100 1.00994900 0.30787427  9504506      118
  110 1.00905091 0.30895594  9505255      117
  120 1.00828917 0.31027600  9503390      120
  130 1.00761385 0.31081891  9503841      117
  140 1.00708143 0.31096060  9503057      117
  150 1.00659667 0.31103172  9504248      114
  160 1.00619438 0.31148835  9504109      123
  170 1.00581176 0.31119631  9504935      122
  180 1.00548278 0.31243858  9506857      114
  190 1.00520579 0.31225803  9502782      118
  200 1.00494550 0.31230337  9504248      119
  210 1.00470429 0.31232923  9506435      120
  220 1.00451000 0.31261205  9503806      118
  230 1.00430783 0.31202781  9504065      113
  240 1.00412333 0.31192306  9504440      116
  250 1.00394760 0.31281596  9505289      116
  260 1.00379385 0.31297655  9503365      120
  270 1.00364333 0.31272515  9504834      118
  280 1.00352179 0.31271665  9503072      116
  290 1.00339931 0.31269101  9505019      116
  300 1.00328967 0.31251476  9503709      116
  310 1.00318032 0.31283890  9503144      128
  320 1.00308594 0.31295818  9504786      114
  330 1.00299636 0.31324446  9505692      116
  340 1.00291000 0.31348069  9504360      117
  350 1.00282771 0.31314930  9502708      116
  360 1.00274806 0.31280899  9504503      116
  370 1.00267378 0.31276438  9504369      117
  380 1.00260684 0.31305680  9504810      115
  390 1.00254308 0.31314196  9503245      118
  400 1.00248225 0.31329285  9502290      114
  410 1.00242659 0.31291703  9502713      118
  420 1.00236738 0.31292669  9504128      116
  430 1.00230535 0.31274770  9503581      116
  440 1.00225932 0.31272168  9505374      117
  450 1.00219756 0.31287987  9504135      119
  460 1.00214565 0.31292473  9504647      121
  470 1.00209447 0.31316924  9505727      118
  480 1.00205000 0.31329375  9502283      113
  490 1.00201673 0.31330619  9505363      118
  500 1.00198620 0.31352209  9504321      113
  510 1.00195137 0.31345489  9504613      122
  520 1.00191365 0.31371802  9504460      117
  530 1.00187925 0.31398263  9502853      120
  540 1.00184426 0.31414340  9502345      115
  550 1.00181145 0.31430398  9504141      114
  560 1.00177893 0.31426026  9501449      116
  570 1.00174228 0.31406392  9505480      118
  580 1.00171121 0.31394437  9503513      115
  590 1.00167356 0.31390222  9504469      119
  600 1.00164300 0.31392589  9504018      120
  610 1.00161623 0.31392905  9502228      121
  620 1.00159242 0.31391054  9505027      118
  630 1.00157413 0.31402332  9503098      117
  640 1.00155391 0.31390333  9505049      114
  650 1.00152738 0.31390997  9503937      117
  660 1.00149985 0.31413633  9504615      115
  670 1.00148254 0.31392508  9502667      118
  680 1.00145838 0.31406990  9504573      116
  690 1.00144043 0.31406535  9504258      117
  700 1.00141700 0.31419587  9505150      123
  710 1.00139408 0.31403619  9503901      116
  720 1.00137944 0.31399603  9502732      117
  730 1.00136055 0.31407464  9504537      116
  740 1.00134216 0.31429362  9503002      119
  750 1.00132493 0.31440317  9504543      119
  760 1.00130803 0.31449336  9504394      127
  770 1.00128766 0.31466779  9503817      119
  780 1.00127256 0.31477448  9501841      117
  790 1.00126114 0.31476533  9503451      115
  800 1.00124625 0.31475349  9504760      121
  810 1.00123062 0.31474186  9503477      118
  820 1.00121293 0.31471867  9504701      117
  830 1.00119964 0.31471731  9503992      116
  840 1.00118429 0.31461000  9502187      117
  850 1.00117447 0.31464739  9503271      117
  860 1.00115581 0.31468458  9505365      126
  870 1.00114356 0.31485927  9503593      120
  880 1.00113182 0.31491051  9504378      115
