#cycle        mu      sigmatransactionsmax interactions
   10 1.10015000 1.01239448  9834677       43
   20 1.05023000 1.00621545  9836956       44
   30 1.03353833 1.01259518  9835782       43
   40 1.02513875 1.00912854  9838058       43
   50 1.02013400 1.01058952  9839916       42
   60 1.01674833 1.00364349  9838209       44
   70 1.01438571 1.00674841  9837259       46
   80 1.01265125 1.00895782  9834585       50
   90 1.01125333 1.00822358  9838045       44
  100 1.01016850 1.01181660  9837485       47
  110 1.00923591 1.01250183  9839009       43
  120 1.00847625 1.01131549  9836860       43
  130 1.00782846 1.00912125  9840143       43
  140 1.00730000 1.00933189  9833442       44
  150 1.00682900 1.00846963  9839107       47
  160 1.00641500 1.00701769  9839170       42
  170 1.00605382 1.00673162  9835678       44
  180 1.00572722 1.00753962  9837111       47
  190 1.00544421 1.00698094  9836139       43
  200 1.00518375 1.00906380  9833928       43
  210 1.00495714 1.00878095  9834555       43
  220 1.00474295 1.00764080  9840189       44
  230 1.00454065 1.00795627  9837660       42
  240 1.00435854 1.00705146  9837680       44
  250 1.00419860 1.00736161  9837824       43
  260 1.00404154 1.00734640  9839014       43
  270 1.00389981 1.00669107  9834284       46
  280 1.00376518 1.00633932  9838043       43
  290 1.00364534 1.00460454  9842414       43
  300 1.00352783 1.00400967  9840586       42
  310 1.00342016 1.00450069  9835842       43
  320 1.00332281 1.00519562  9836330       43
  330 1.00322348 1.00580931  9837451       42
  340 1.00313882 1.00530427  9839579       43
  350 1.00305100 1.00557543  9842728       44
  360 1.00297681 1.00586272  9833848       43
  370 1.00290622 1.00595774  9837461       44
  380 1.00283566 1.00606391  9838208       43
  390 1.00276731 1.00619142  9834632       46
  400 1.00270762 1.00614077  9838937       43
  410 1.00264768 1.00432592  9843636       42
  420 1.00259298 1.00438210  9836997       45
  430 1.00253791 1.00389006  9838684       43
  440 1.00248295 1.00415053  9838579       43
  450 1.00243244 1.00396132  9844681       48
  460 1.00238033 1.00394463  9837458       42
  470 1.00233223 1.00510393  9838978       43
  480 1.00228760 1.00535238  9838260       46
  490 1.00224684 1.00492641  9834414       46
  500 1.00219920 1.00418477  9842905       42
  510 1.00215716 1.00413058  9841368       44
  520 1.00212067 1.00427707  9836947       44
  530 1.00208425 1.00398503  9839454       44
  540 1.00205056 1.00415915  9840090       46
  550 1.00201745 1.00444637  9839375       43
  560 1.00198402 1.00437743  9837930       45
  570 1.00195544 1.00410327  9835505       45
  580 1.00192474 1.00379563  9838190       45
  590 1.00189805 1.00435989  9835141       45
  600 1.00186958 1.00406766  9839877       44
  610 1.00184418 1.00347711  9843011       44
  620 1.00181935 1.00334974  9839364       44
  630 1.00179762 1.00337393  9837079       50
  640 1.00177523 1.00401460  9837725       46
  650 1.00175300 1.00456861  9838568       42
  660 1.00173235 1.00467949  9836950       47
  670 1.00171396 1.00432578  9837516       43
  680 1.00169449 1.00377855  9839463       45
  690 1.00167304 1.00379006  9836804       44
  700 1.00165150 1.00349304  9834989       44
  710 1.00162937 1.00332402  9838373       44
  720 1.00161076 1.00280838  9840208       43
  730 1.00159281 1.00276165  9840946       43
  740 1.00157730 1.00267330  9838497       43
  750 1.00156313 1.00273126  9834932       44
  760 1.00154480 1.00317337  9835706       44
  770 1.00152968 1.00308837  9838486       44
  780 1.00151449 1.00266421  9832699       45
  790 1.00149962 1.00266821  9842229       46
  800 1.00148513 1.00249526  9841803       48
  810 1.00146802 1.00260584  9837399       47
  820 1.00145555 1.00273862  9838964       46
  830 1.00144030 1.00263112  9835103       42
  840 1.00142839 1.00284436  9841549       49
  850 1.00141235 1.00250986  9837753       45
  860 1.00139715 1.00251209  9835868       43
  870 1.00138523 1.00283430  9837778       46
  880 1.00137102 1.00268905  9841043       45
  890 1.00136017 1.00274317  9838576       42
  900 1.00134717 1.00303941  9833444       42
  910 1.00133434 1.00297197  9841154       44
  920 1.00132120 1.00261171  9835447       43
  930 1.00130935 1.00249015  9839784       44
  940 1.00129739 1.00249422  9839879       43
  950 1.00128753 1.00252517  9837028       43
  960 1.00127359 1.00226825  9835784       44
  970 1.00126557 1.00191765  9836381       45
  980 1.00125439 1.00184017  9838675       47
  990 1.00124197 1.00166091  9837561       44
 1000 1.00123270 1.00187708  9838733       43
 1010 1.00122139 1.00200708  9841203       45
 1020 1.00121088 1.00221256  9838828       41
 1030 1.00120019 1.00223156  9838442       43
 1040 1.00118957 1.00193437  9840717       43
 1050 1.00117986 1.00183657  9843661       43
 1060 1.00117170 1.00169063  9840195       44
 1070 1.00115944 1.00174405  9836084       44
 1080 1.00114954 1.00174674  9844622       47
 1090 1.00113927 1.00193471  9839331       44
 1100 1.00113291 1.00181486  9837077       44
 1110 1.00112437 1.00175057  9840284       44
 1120 1.00111536 1.00159572  9843428       43
 1130 1.00110624 1.00173187  9834850       48
 1140 1.00109829 1.00163395  9838923       46
 1150 1.00109161 1.00154883  9835866       44
 1160 1.00108371 1.00171099  9836384       43
 1170 1.00107615 1.00161264  9838038       43
 1180 1.00107030 1.00167237  9834639       45
 1190 1.00106353 1.00143190  9832594       43
 1200 1.00105675 1.00151194  9839003       45
 1210 1.00104864 1.00149010  9838929       41
 1220 1.00103939 1.00155595  9839258       44
 1230 1.00103650 1.00139298  9841567       44
 1240 1.00103194 1.00142040  9833414       48
 1250 1.00102416 1.00136520  9838969       48
 1260 1.00101730 1.00141546  9841749       45
 1270 1.00101142 1.00147285  9835650       47
 1280 1.00100418 1.00138533  9836913       45
 1290 1.00099787 1.00110747  9838216       44
 1300 1.00099204 1.00099412  9844333       41
 1310 1.00098408 1.00090293  9835852       43
 1320 1.00097712 1.00101780  9841773       43
 1330 1.00097195 1.00111230  9840173       43
 1340 1.00096713 1.00103472  9841206       44
 1350 1.00095904 1.00081596  9838829       44
 1360 1.00095368 1.00054517  9840817       43
 1370 1.00094745 1.00035757  9837246       42
 1380 1.00094076 1.00050065  9839175       45
 1390 1.00093424 1.00029457  9835555       44
 1400 1.00093007 1.00032523  9833550       45
 1410 1.00092652 1.00025712  9841265       43
 1420 1.00092211 1.00022596  9836604       44
 1430 1.00091678 1.00038374  9837259       45
 1440 1.00091174 1.00019774  9833386       42
 1450 1.00090748 1.00023359  9833705       43
 1460 1.00090445 1.00016836  9838951       43
 1470 1.00089888 1.00014141  9844179       43
 1480 1.00089470 1.00018111  9839049       43
 1490 1.00088953 1.00018714  9837658       44
 1500 1.00088403 1.00016877  9836514       44
 1510 1.00087930 1.00027125  9839628       43
 1520 1.00087378 1.00005155  9842536       43
 1530 1.00086948 1.00023910  9839626       45
 1540 1.00086545 1.00031642  9834063       45
 1550 1.00086271 1.00032132  9839718       46
 1560 1.00085821 1.00007869  9840634       43
 1570 1.00085487 0.99998116  9834720       42
 1580 1.00085047 1.00012031  9841830       44
 1590 1.00084635 1.00031465  9841578       43
 1600 1.00083928 1.00023984  9837847       45
 1610 1.00083478 1.00017382  9841938       48
 1620 1.00083105 1.00007374  9835168       44
 1630 1.00082687 1.00032380  9835760       45
 1640 1.00082265 1.00008723  9846749       43
 1650 1.00081888 0.99994158  9837238       44
 1660 1.00081563 0.99992539  9834036       43
 1670 1.00081204 0.99987383  9845386       43
 1680 1.00080827 0.99991516  9841310       44
 1690 1.00080716 0.99993980  9835691       44
 1700 1.00080347 0.99996025  9835643       46
 1710 1.00080237 0.99980820  9836287       42
 1720 1.00079762 0.99986555  9835926       44
 1730 1.00079439 0.99977029  9833211       45
 1740 1.00079078 0.99953628  9845003       43
 1750 1.00078720 0.99929104  9836158       47
 1760 1.00078412 0.99931499  9836279       46
 1770 1.00078042 0.99930491  9840109       43
 1780 1.00077632 0.99925218  9836587       44
 1790 1.00077394 0.99940161  9840346       43
 1800 1.00076853 0.99926412  9841037       43
 1810 1.00076583 0.99943570  9834041       44
 1820 1.00076275 0.99951868  9842862       45
 1830 1.00075973 0.99934640  9839560       45
 1840 1.00075538 0.99915560  9838859       43
 1850 1.00075295 0.99908337  9835564       45
 1860 1.00074935 0.99902840  9835795       46
 1870 1.00074497 0.99890144  9838695       45
 1880 1.00074173 0.99886088  9837202       47
 1890 1.00073839 0.99898196  9836289       48
 1900 1.00073550 0.99898727  9837345       44
 1910 1.00073288 0.99903112  9836122       42
 1920 1.00073013 0.99904906  9842011       44
 1930 1.00072715 0.99887109  9837595       45
 1940 1.00072410 0.99880373  9836651       44
 1950 1.00072236 0.99900772  9837422       44
 1960 1.00071936 0.99888848  9842604       42
 1970 1.00071774 0.99878511  9835702       46
 1980 1.00071417 0.99894047  9832350       44
