#cycle        mu      sigmatransactionsmax interactions
   10 1.10029000 0.96498692  9901144       47
   20 1.05031500 0.96485440  9900879       43
   30 1.03365333 0.97381612  9900897       44
   40 1.02530625 0.97684959  9901268       42
   50 1.02028000 0.98374262  9900976       45
   60 1.01695083 0.98934234  9901313       43
   70 1.01460429 0.99442171  9901994       45
   80 1.01282437 0.99148454  9901105       44
   90 1.01143889 0.99017321  9900972       44
  100 1.01029300 0.99004745  9901273       47
  110 1.00939045 0.99185727  9901896       45
  120 1.00860333 0.98960015  9900781       45
  130 1.00794692 0.99189500  9900479       43
  140 1.00737929 0.99449058  9901315       46
  150 1.00690567 0.99301075  9900819       47
  160 1.00648312 0.99418353  9901118       43
  170 1.00611824 0.99601174  9901274       44
  180 1.00578861 0.99617874  9900771       46
  190 1.00550289 0.99628985  9901213       43
  200 1.00523700 0.99855997  9901278       42
  210 1.00499548 0.99871464  9900691       43
  220 1.00478000 0.99932465  9901204       43
  230 1.00457022 0.99772766  9901124       50
  240 1.00439375 0.99827744  9900670       45
  250 1.00422020 0.99841309  9901127       44
  260 1.00406846 0.99768433  9901248       50
  270 1.00392722 0.99778474  9901361       44
  280 1.00378911 0.99678370  9901040       43
  290 1.00366448 0.99617369  9901709       43
  300 1.00354917 0.99603674  9900818       44
  310 1.00344645 0.99649461  9901329       44
  320 1.00335031 0.99734937  9900798       46
  330 1.00325333 0.99728763  9901022       43
  340 1.00316500 0.99763062  9901554       42
  350 1.00308571 0.99742476  9901601       44
  360 1.00301500 0.99838326  9901284       43
  370 1.00293878 0.99813570  9901043       43
  380 1.00286855 0.99815146  9900642       42
  390 1.00279808 0.99838654  9900883       43
  400 1.00273363 0.99894306  9901123       43
  410 1.00267561 0.99863634  9900461       44
  420 1.00262214 0.99859470  9901468       45
  430 1.00256430 0.99892120  9901704       45
  440 1.00251602 0.99908600  9900349       43
  450 1.00246411 0.99931143  9900735       43
  460 1.00241804 0.99996581  9900844       43
  470 1.00237500 1.00018665  9900941       46
  480 1.00232740 1.00011276  9901545       44
  490 1.00228398 1.00014114  9901467       43
  500 1.00223700 1.00042741  9900911       46
  510 1.00219971 1.00071219  9901271       44
  520 1.00216240 0.99985309  9900696       45
  530 1.00212594 1.00054098  9901451       41
