#cycle        mu      sigmatransactionsmax interactions
   10 1.09978000 0.16040995  9977585       47
   20 1.04981000 0.20889546  9977556       46
   30 1.03317667 0.22444898  9977630       43
   40 1.02487375 0.22903067  9977675       46
   50 1.01990500 0.23267759  9977534       44
   60 1.01654917 0.23530529  9977348       44
   70 1.01419929 0.23813252  9977555       43
   80 1.01246875 0.23910816  9977523       43
   90 1.01107500 0.23926968  9977341       45
  100 1.00994850 0.24057418  9977690       44
  110 1.00904591 0.24185899  9977419       45
  120 1.00830542 0.24250681  9977581       43
  130 1.00766192 0.24357814  9977306       45
  140 1.00709857 0.24397611  9977563       44
  150 1.00663533 0.24410007  9977180       46
  160 1.00621969 0.24478866  9977774       43
  170 1.00586882 0.24523679  9977736       43
  180 1.00553389 0.24570051  9978161       44
  190 1.00524368 0.24611832  9977369       44
  200 1.00496375 0.24605221  9978135       43
  210 1.00473429 0.24634432  9977630       43
  220 1.00451750 0.24641609  9977544       43
  230 1.00431087 0.24679203  9977087       42
  240 1.00413729 0.24711234  9977498       47
  250 1.00397800 0.24707300  9977679       48
  260 1.00382731 0.24745089  9977634       45
  270 1.00369148 0.24742774  9977471       47
  280 1.00355643 0.24776441  9977714       43
  290 1.00343241 0.24776529  9977790       44
  300 1.00331250 0.24785503  9977473       43
  310 1.00320710 0.24789241  9977754       43
  320 1.00310516 0.24807190  9977589       45
  330 1.00301561 0.24820533  9977740       45
  340 1.00292441 0.24841468  9977439       42
  350 1.00284157 0.24850998  9977638       47
  360 1.00276097 0.24855879  9978365       42
  370 1.00268189 0.24876902  9977304       44
  380 1.00261263 0.24874050  9977456       46
  390 1.00254962 0.24876097  9977910       44
  400 1.00249038 0.24878231  9977543       43
  410 1.00242634 0.24865375  9977519       43
  420 1.00237000 0.24856635  9977842       46
  430 1.00231872 0.24852733  9977418       45
  440 1.00226284 0.24868818  9977508       45
  450 1.00220956 0.24878186  9977905       45
  460 1.00215978 0.24886632  9978028       46
  470 1.00211106 0.24896878  9977688       45
  480 1.00206635 0.24907081  9977687       45
  490 1.00202418 0.24911411  9977509       43
  500 1.00198890 0.24910950  9977576       44
  510 1.00195147 0.24910409  9977783       44
  520 1.00191317 0.24903099  9977731       47
  530 1.00187679 0.24908191  9977612       45
  540 1.00184000 0.24915530  9977812       45
  550 1.00181136 0.24919848  9977349       45
  560 1.00178196 0.24918503  9977625       46
  570 1.00174886 0.24915212  9977594       42
  580 1.00171905 0.24908225  9977447       45
  590 1.00168686 0.24910687  9977777       47
  600 1.00165825 0.24913998  9977817       44
  610 1.00162795 0.24908673  9977810       46
  620 1.00160411 0.24918952  9977703       49
  630 1.00158159 0.24918794  9977482       45
  640 1.00155234 0.24917943  9977616       43
  650 1.00152531 0.24928389  9977459       44
  660 1.00150682 0.24918345  9977794       45
  670 1.00148291 0.24918696  9977273       45
  680 1.00146206 0.24921146  9977614       43
  690 1.00144319 0.24919107  9977509       47
  700 1.00142557 0.24913902  9977753       43
  710 1.00140585 0.24910501  9977810       45
  720 1.00138465 0.24909338  9977449       45
  730 1.00136575 0.24913406  9977430       47
  740 1.00134709 0.24917671  9977945       43
  750 1.00132893 0.24919779  9977455       45
  760 1.00131243 0.24921492  9977415       46
  770 1.00129643 0.24914416  9977969       43
  780 1.00128058 0.24920282  9977835       48
  790 1.00126342 0.24920616  9977857       44
  800 1.00124937 0.24921908  9977547       43
  810 1.00123333 0.24920329  9978119       45
  820 1.00122091 0.24920813  9977974       45
  830 1.00120584 0.24921452  9977407       44
  840 1.00119024 0.24923854  9977709       47
  850 1.00117800 0.24925937  9977824       44
  860 1.00116436 0.24922118  9977381       44
  870 1.00115408 0.24917340  9977805       43
  880 1.00114153 0.24915273  9977619       45
  890 1.00113022 0.24916489  9977623       44
  900 1.00111928 0.24920911  9977763       45
  910 1.00110676 0.24927700  9977462       43
  920 1.00109571 0.24928306  9977499       46
  930 1.00108495 0.24927154  9977446       43
  940 1.00107383 0.24927647  9977732       44
  950 1.00106132 0.24924752  9977651       44
  960 1.00105078 0.24920947  9978013       42
  970 1.00103907 0.24921039  9977332       43
  980 1.00102740 0.24927521  9977668       44
  990 1.00101828 0.24929767  9977264       46
 1000 1.00100990 0.24930476  9977976       46
 1010 1.00100213 0.24931277  9977722       43
 1020 1.00098877 0.24932722  9977580       44
 1030 1.00097743 0.24921827  9977722       47
 1040 1.00096692 0.24927352  9978004       46
 1050 1.00095838 0.24921427  9977265       46
 1060 1.00094755 0.24913199  9977618       42
 1070 1.00093902 0.24911154  9977845       42
 1080 1.00092861 0.24915091  9977562       46
 1090 1.00092147 0.24919107  9977640       46
 1100 1.00091255 0.24921484  9977543       44
 1110 1.00090455 0.24917152  9977818       45
 1120 1.00089527 0.24915035  9977220       44
 1130 1.00088845 0.24918954  9977280       44
 1140 1.00088070 0.24921431  9977763       43
 1150 1.00087217 0.24922156  9977687       45
 1160 1.00086371 0.24927313  9977486       44
 1170 1.00085513 0.24924831  9977636       44
 1180 1.00084903 0.24927464  9977414       45
 1190 1.00084055 0.24922014  9977077       44
 1200 1.00083312 0.24928431  9977475       43
 1210 1.00082711 0.24934000  9977839       44
 1220 1.00081951 0.24930769  9977495       44
 1230 1.00081150 0.24924168  9977596       44
 1240 1.00080556 0.24921948  9977181       44
 1250 1.00079828 0.24925461  9977655       43
 1260 1.00079179 0.24926903  9977767       46
 1270 1.00078421 0.24925205  9977528       44
 1280 1.00077996 0.24928236  9977655       47
 1290 1.00077496 0.24931555  9977612       45
 1300 1.00076985 0.24930568  9977667       44
 1310 1.00076302 0.24934965  9978025       43
 1320 1.00075871 0.24936523  9977760       43
 1330 1.00075165 0.24934111  9977445       43
 1340 1.00074519 0.24935630  9977272       43
 1350 1.00073889 0.24941011  9977726       43
 1360 1.00073287 0.24937128  9977570       43
 1370 1.00072529 0.24934561  9977624       46
 1380 1.00072076 0.24935042  9977769       44
 1390 1.00071572 0.24937190  9977718       45
 1400 1.00071000 0.24934486  9977633       43
 1410 1.00070291 0.24936924  9977584       44
 1420 1.00069852 0.24936201  9977363       49
 1430 1.00069703 0.24936365  9977746       44
 1440 1.00069000 0.24940929  9977854       44
 1450 1.00068476 0.24941808  9977753       44
 1460 1.00067880 0.24941645  9977420       43
 1470 1.00067361 0.24938581  9977297       43
 1480 1.00066828 0.24942012  9977722       46
 1490 1.00066339 0.24938671  9977754       44
 1500 1.00065853 0.24939421  9977428       46
 1510 1.00065437 0.24938611  9977705       43
 1520 1.00064921 0.24935672  9977351       42
 1530 1.00064755 0.24941262  9977362       45
 1540 1.00064354 0.24940952  9977453       44
 1550 1.00063887 0.24942629  9977639       46
 1560 1.00063446 0.24943791  9978044       45
 1570 1.00062857 0.24944390  9977668       45
 1580 1.00062547 0.24942830  9977523       43
 1590 1.00061984 0.24943664  9977718       43
 1600 1.00061575 0.24940172  9977859       47
 1610 1.00061283 0.24937876  9977697       45
 1620 1.00061062 0.24937835  9977581       43
 1630 1.00060656 0.24937771  9977379       44
 1640 1.00060268 0.24938894  9977691       44
 1650 1.00060052 0.24940278  9977237       44
 1660 1.00059699 0.24940229  9977931       46
 1670 1.00059422 0.24944305  9977636       46
 1680 1.00059036 0.24947709  9977431       45
 1690 1.00058651 0.24945962  9977517       44
 1700 1.00058350 0.24944453  9977668       44
 1710 1.00057956 0.24944309  9977314       44
 1720 1.00057654 0.24943785  9977615       44
 1730 1.00057272 0.24947212  9977209       44
 1740 1.00056839 0.24946424  9977568       43
 1750 1.00056517 0.24950458  9977575       49
 1760 1.00056253 0.24950012  9977811       51
 1770 1.00055819 0.24945213  9977741       42
 1780 1.00055455 0.24947098  9977527       47
 1790 1.00055126 0.24948434  9977718       44
 1800 1.00054808 0.24949279  9978070       45
 1810 1.00054533 0.24951518  9977628       44
 1820 1.00054280 0.24951874  9977546       44
 1830 1.00054153 0.24952712  9977810       45
 1840 1.00053853 0.24951179  9977729       42
 1850 1.00053692 0.24951063  9977467       43
 1860 1.00053352 0.24953205  9977645       44
 1870 1.00053024 0.24953621  9977513       44
 1880 1.00052774 0.24952648  9977602       47
 1890 1.00052444 0.24954167  9977699       46
 1900 1.00052008 0.24955715  9977144       44
 1910 1.00051741 0.24958881  9977944       42
 1920 1.00051469 0.24957643  9977982       44
 1930 1.00051202 0.24958444  9977484       44
 1940 1.00051041 0.24957795  9977765       43
 1950 1.00050815 0.24957813  9977593       45
 1960 1.00050551 0.24958434  9977184       46
 1970 1.00050444 0.24960665  9977839       44
 1980 1.00050174 0.24959594  9977663       45
 1990 1.00049960 0.24956208  9977695       43
