#cycle        mu      sigmatransactionsmax interactions
   10 1.09994000 0.16387300  9931794       43
   20 1.04998500 0.21205350  9931469       42
   30 1.03337333 0.22600305  9931773       42
   40 1.02507875 0.23176293  9931945       45
   50 1.02005500 0.23671420  9933132       44
   60 1.01669333 0.23887533  9932010       45
   70 1.01430571 0.24054613  9932009       47
   80 1.01252312 0.24213817  9932964       42
   90 1.01110833 0.24264627  9931466       43
  100 1.00999850 0.24323803  9932575       44
  110 1.00909955 0.24362974  9933019       43
  120 1.00832917 0.24412350  9931581       42
  130 1.00768615 0.24447365  9931691       44
  140 1.00714750 0.24462059  9933095       43
  150 1.00666467 0.24485345  9932280       48
  160 1.00626906 0.24529301  9932307       44
  170 1.00591324 0.24580289  9931194       43
  180 1.00559000 0.24607961  9932085       47
  190 1.00529816 0.24610540  9932478       44
  200 1.00503825 0.24660512  9932772       44
  210 1.00480571 0.24661305  9931983       44
  220 1.00458727 0.24649878  9932437       47
  230 1.00439196 0.24668488  9932023       44
  240 1.00420896 0.24686074  9932136       44
  250 1.00404820 0.24715845  9932372       44
  260 1.00389231 0.24698979  9932420       45
  270 1.00374167 0.24701880  9931594       44
  280 1.00360446 0.24736151  9932199       41
  290 1.00347310 0.24751270  9932194       44
  300 1.00336217 0.24785270  9932253       43
  310 1.00324887 0.24789996  9931890       43
  320 1.00314516 0.24773047  9931762       45
  330 1.00304939 0.24777640  9931990       45
  340 1.00295662 0.24802848  9932524       44
  350 1.00287514 0.24808625  9932214       43
  360 1.00278944 0.24805747  9932254       42
  370 1.00271014 0.24817476  9932252       43
  380 1.00264118 0.24824650  9932566       44
  390 1.00257910 0.24827877  9932019       45
  400 1.00251750 0.24838196  9932248       42
  410 1.00245695 0.24841600  9931556       47
  420 1.00239786 0.24832820  9932489       43
  430 1.00233791 0.24839407  9932776       44
  440 1.00228648 0.24848948  9931385       45
  450 1.00223678 0.24856982  9931590       42
  460 1.00218761 0.24871827  9932624       45
  470 1.00214032 0.24857655  9932348       45
  480 1.00209406 0.24858946  9932426       42
  490 1.00204745 0.24859864  9932082       44
  500 1.00200790 0.24870346  9931920       44
  510 1.00196686 0.24878851  9932248       43
  520 1.00193442 0.24882971  9932600       43
  530 1.00189943 0.24889573  9931568       45
  540 1.00186565 0.24893492  9931828       45
  550 1.00183109 0.24897766  9931852       45
  560 1.00179955 0.24899309  9932187       43
  570 1.00176939 0.24893127  9932042       43
  580 1.00173698 0.24890253  9931784       46
  590 1.00170983 0.24882109  9932519       44
  600 1.00168717 0.24880820  9931660       43
  610 1.00166008 0.24886932  9932544       44
  620 1.00163097 0.24889350  9932082       48
  630 1.00160468 0.24890046  9932577       46
  640 1.00158094 0.24899224  9932091       43
  650 1.00155762 0.24898937  9931998       47
  660 1.00153530 0.24909382  9931265       43
  670 1.00151254 0.24907923  9931120       44
  680 1.00148654 0.24912704  9931602       44
  690 1.00146217 0.24918212  9931658       44
  700 1.00144129 0.24916747  9932514       46
  710 1.00142155 0.24919372  9932815       44
  720 1.00140347 0.24926123  9931671       44
  730 1.00138390 0.24930577  9931378       43
  740 1.00136635 0.24931888  9932719       43
  750 1.00134933 0.24934055  9931620       46
  760 1.00133382 0.24933367  9932103       44
  770 1.00131766 0.24939365  9930364       44
  780 1.00130122 0.24946185  9932144       43
  790 1.00128741 0.24948581  9931991       46
  800 1.00127150 0.24944598  9931965       42
  810 1.00125414 0.24951018  9932162       43
  820 1.00123878 0.24956434  9932553       44
  830 1.00122488 0.24963627  9931889       45
  840 1.00121048 0.24964232  9932665       44
  850 1.00119512 0.24962880  9932161       43
  860 1.00118093 0.24972418  9931937       49
  870 1.00116851 0.24968582  9931848       45
  880 1.00115778 0.24969921  9931803       45
  890 1.00114376 0.24967872  9931166       44
  900 1.00113083 0.24974689  9932262       46
  910 1.00111846 0.24979796  9932327       45
  920 1.00110429 0.24981063  9931563       43
  930 1.00109177 0.24989745  9931745       44
  940 1.00107590 0.24986868  9932517       46
  950 1.00106426 0.24989976  9932536       42
  960 1.00105536 0.24987752  9931776       43
  970 1.00104330 0.24994298  9932018       45
  980 1.00103515 0.24991209  9932424       47
  990 1.00102444 0.24984621  9931804       43
 1000 1.00101620 0.24988333  9932983       44
 1010 1.00100460 0.24989898  9931224       43
 1020 1.00099500 0.24989938  9932660       42
 1030 1.00098398 0.24989662  9931871       45
 1040 1.00097245 0.24988848  9932586       43
 1050 1.00096319 0.24994864  9931509       42
 1060 1.00095349 0.24991097  9931692       43
 1070 1.00094435 0.24992822  9932780       45
 1080 1.00093324 0.24993008  9932425       45
 1090 1.00092482 0.24994379  9931731       43
 1100 1.00091855 0.24993472  9931652       46
 1110 1.00091009 0.24991683  9931937       47
 1120 1.00090170 0.24989939  9931244       45
 1130 1.00089341 0.24989979  9932421       44
 1140 1.00088588 0.24990462  9932515       42
 1150 1.00087861 0.24996204  9931676       43
 1160 1.00087198 0.25000511  9932218       45
 1170 1.00086509 0.24998411  9931943       45
 1180 1.00085487 0.25000593  9932003       44
 1190 1.00084765 0.24995490  9932407       44
 1200 1.00083925 0.24995020  9931819       42
 1210 1.00083277 0.24992663  9932339       44
 1220 1.00082451 0.24996159  9932119       45
 1230 1.00081866 0.24996211  9931726       43
 1240 1.00081157 0.24993338  9932643       43
 1250 1.00080600 0.24994813  9932070       46
 1260 1.00079917 0.24995644  9932249       45
 1270 1.00079205 0.24998398  9931189       43
 1280 1.00078383 0.24997917  9932199       46
 1290 1.00077771 0.24999214  9930450       44
 1300 1.00077035 0.25000241  9931975       42
 1310 1.00076458 0.25003396  9932038       45
 1320 1.00075848 0.25000419  9931727       43
 1330 1.00075338 0.25003966  9931701       46
 1340 1.00074746 0.25001131  9932395       46
 1350 1.00074133 0.25004962  9932166       45
 1360 1.00073504 0.25006940  9932406       45
 1370 1.00073113 0.25006639  9932050       46
 1380 1.00072620 0.25008770  9931450       51
 1390 1.00072040 0.25010943  9932006       44
 1400 1.00071525 0.25010211  9931833       49
 1410 1.00070950 0.25011300  9932760       45
 1420 1.00070296 0.25009776  9932880       44
 1430 1.00069790 0.25010844  9931911       43
 1440 1.00069514 0.25010395  9932521       45
 1450 1.00069266 0.25012109  9931348       43
 1460 1.00068839 0.25006862  9932141       43
 1470 1.00068316 0.25007165  9930775       43
 1480 1.00067922 0.25012742  9931375       45
 1490 1.00067540 0.25012970  9931689       43
 1500 1.00067167 0.25012879  9932627       44
 1510 1.00066636 0.25018342  9931529       44
 1520 1.00066056 0.25019309  9932355       45
 1530 1.00065484 0.25017742  9932631       47
 1540 1.00064981 0.25017207  9932420       46
 1550 1.00064384 0.25021128  9931926       43
 1560 1.00064131 0.25019922  9932695       44
 1570 1.00063608 0.25023617  9932165       43
 1580 1.00063158 0.25023637  9931263       44
 1590 1.00062701 0.25024684  9932180       43
 1600 1.00062309 0.25025755  9932994       44
 1610 1.00062081 0.25026953  9931182       47
 1620 1.00061685 0.25024347  9932459       43
 1630 1.00061239 0.25022603  9932578       43
 1640 1.00060835 0.25021330  9931595       45
 1650 1.00060418 0.25022835  9932239       45
 1660 1.00060120 0.25024742  9932028       44
 1670 1.00059868 0.25022784  9931878       44
 1680 1.00059509 0.25019105  9931956       45
 1690 1.00059166 0.25016906  9931811       43
 1700 1.00058662 0.25017041  9932901       45
 1710 1.00058251 0.25015108  9931134       46
 1720 1.00057919 0.25015689  9931753       42
 1730 1.00057645 0.25017363  9931683       43
 1740 1.00057353 0.25017972  9932632       43
 1750 1.00056983 0.25016513  9932523       43
 1760 1.00056665 0.25015689  9932639       45
 1770 1.00056226 0.25015558  9931609       44
 1780 1.00055966 0.25019699  9931606       46
 1790 1.00055718 0.25015028  9931290       44
 1800 1.00055494 0.25015111  9931497       47
 1810 1.00055155 0.25011707  9932013       43
 1820 1.00054777 0.25013276  9931965       44
 1830 1.00054631 0.25013137  9931936       45
 1840 1.00054443 0.25011732  9932081       44
 1850 1.00054130 0.25012799  9932211       44
 1860 1.00053766 0.25012382  9931992       43
 1870 1.00053607 0.25014353  9932175       44
 1880 1.00053271 0.25012062  9931361       43
 1890 1.00052889 0.25011393  9931677       45
 1900 1.00052608 0.25011537  9931112       45
 1910 1.00052267 0.25014220  9931608       46
 1920 1.00052021 0.25016217  9930954       44
 1930 1.00051769 0.25016121  9932135       43
 1940 1.00051428 0.25016338  9932469       45
 1950 1.00051259 0.25019883  9932147       45
 1960 1.00050855 0.25017981  9932430       43
 1970 1.00050777 0.25019948  9932404       45
 1980 1.00050510 0.25019571  9931612       44
 1990 1.00050246 0.25019749  9931460       44
