#cycle        mu      sigmatransactionsmax interactions
   10 1.10027500 0.94881042  9846759       49
   20 1.05017250 0.97487397  9844277       43
   30 1.03354833 0.98216818  9845105       43
   40 1.02518000 0.98300497  9845624       44
   50 1.02019700 0.98100458  9843218       45
   60 1.01683667 0.98549269  9845141       42
   70 1.01446786 0.99084154  9845285       45
   80 1.01267625 0.99123444  9846376       44
   90 1.01126833 0.98851264  9846822       45
  100 1.01015250 0.98918103  9846121       43
  110 1.00926136 0.99047186  9844275       43
  120 1.00850542 0.99441470  9845026       45
  130 1.00786000 0.99439668  9849116       44
  140 1.00730179 0.99526593  9844083       43
  150 1.00684033 0.99420571  9846662       45
  160 1.00640875 0.99582746  9842410       44
  170 1.00605324 0.99466342  9848755       45
  180 1.00574111 0.99492235  9848408       44
  190 1.00544605 0.99616852  9843472       45
  200 1.00519275 0.99608339  9846419       44
  210 1.00494881 0.99497853  9844017       43
  220 1.00472000 0.99585234  9847847       46
  230 1.00452674 0.99439660  9843659       44
  240 1.00434729 0.99488943  9844621       44
  250 1.00417960 0.99450699  9841268       43
  260 1.00401731 0.99562238  9842230       44
  270 1.00387870 0.99718546  9844857       44
  280 1.00375071 0.99662332  9845604       44
  290 1.00362707 0.99609241  9844209       43
  300 1.00351717 0.99679508  9846522       44
  310 1.00341661 0.99686183  9847162       46
  320 1.00331766 0.99777635  9843903       46
  330 1.00321636 0.99746620  9846483       44
  340 1.00313088 0.99603557  9849514       44
  350 1.00305914 0.99640214  9845610       46
  360 1.00297847 0.99603923  9845169       42
  370 1.00289770 0.99579089  9844476       47
  380 1.00283461 0.99640814  9848169       44
  390 1.00276782 0.99689713  9851309       44
  400 1.00270912 0.99659884  9844615       42
  410 1.00264756 0.99662326  9846858       42
  420 1.00258881 0.99632226  9844546       43
  430 1.00253535 0.99785596  9846341       46
  440 1.00248500 0.99765547  9843561       45
  450 1.00243589 0.99756532  9845929       47
  460 1.00238761 0.99765710  9845522       43
  470 1.00233947 0.99721318  9845319       43
  480 1.00229615 0.99746574  9846734       45
  490 1.00225663 0.99717664  9850731       44
  500 1.00221500 0.99730863  9847685       46
  510 1.00217520 0.99708077  9845665       44
  520 1.00213827 0.99722775  9846476       43
  530 1.00209764 0.99798681  9845626       45
  540 1.00206120 0.99803189  9845314       43
  550 1.00202409 0.99749081  9844956       43
  560 1.00199080 0.99769269  9844550       45
  570 1.00195825 0.99795451  9844689       43
  580 1.00192819 0.99761176  9847780       44
  590 1.00189941 0.99748690  9846726       44
  600 1.00186867 0.99708316  9846658       44
  610 1.00184205 0.99712894  9844728       45
  620 1.00181290 0.99676396  9849120       44
  630 1.00178754 0.99695661  9846717       44
  640 1.00176211 0.99669884  9844770       44
  650 1.00173800 0.99657943  9845535       44
  660 1.00171523 0.99635072  9847958       44
  670 1.00169007 0.99690049  9845738       43
  680 1.00166522 0.99688629  9848870       44
  690 1.00164884 0.99645361  9847830       45
  700 1.00162757 0.99622407  9844493       44
  710 1.00160972 0.99596591  9845652       45
  720 1.00159118 0.99590591  9846379       43
  730 1.00157425 0.99610633  9847608       44
  740 1.00155601 0.99589084  9848731       44
  750 1.00153527 0.99587126  9843727       44
  760 1.00151388 0.99635258  9844789       43
  770 1.00149519 0.99633380  9847166       44
  780 1.00147865 0.99632304  9844591       43
