#cycle        mu      sigmatransactionsmax interactions
   10 1.10019000 0.19572046  9767153      120
   20 1.05015000 0.23926023  9767736      124
   30 1.03346333 0.25349004  9768266      128
   40 1.02502750 0.25965650  9767359      117
   50 1.02004000 0.26240730  9766698      117
   60 1.01672833 0.26493208  9768412      119
   70 1.01432143 0.26695168  9767330      124
   80 1.01255125 0.26802328  9768100      121
   90 1.01119000 0.26810351  9767927      123
  100 1.01008000 0.26948524  9766821      121
  110 1.00915727 0.27038992  9768222      120
  120 1.00838417 0.27158258  9767415      127
  130 1.00775154 0.27250726  9767655      118
  140 1.00721071 0.27254397  9767543      119
  150 1.00671800 0.27314964  9767699      117
  160 1.00630313 0.27281786  9766888      120
  170 1.00594588 0.27281379  9768476      124
  180 1.00561000 0.27320233  9769040      120
  190 1.00533789 0.27384627  9767213      119
  200 1.00506100 0.27377686  9769189      121
  210 1.00482095 0.27369816  9767193      121
  220 1.00459455 0.27398832  9768608      120
  230 1.00438609 0.27452487  9767674      126
  240 1.00419625 0.27499487  9767440      126
  250 1.00403240 0.27506596  9767611      116
  260 1.00388654 0.27484134  9767293      119
  270 1.00375481 0.27496129  9767813      118
  280 1.00362071 0.27504859  9769069      119
  290 1.00349897 0.27526788  9767843      118
  300 1.00338933 0.27503996  9768453      124
  310 1.00327419 0.27510223  9768272      117
  320 1.00316000 0.27485916  9768266      123
  330 1.00307394 0.27515205  9767384      118
  340 1.00297324 0.27511659  9769386      122
  350 1.00289057 0.27535757  9768169      119
  360 1.00280556 0.27499350  9767446      120
  370 1.00272703 0.27496090  9766715      119
  380 1.00265632 0.27528635  9768054      122
  390 1.00258256 0.27526793  9768063      118
  400 1.00251950 0.27525696  9768212      119
  410 1.00246317 0.27544504  9767915      123
  420 1.00240262 0.27555941  9766968      125
  430 1.00234860 0.27546089  9767756      126
  440 1.00229250 0.27561444  9767334      117
  450 1.00223978 0.27555295  9767391      123
  460 1.00219152 0.27543577  9767600      124
  470 1.00214404 0.27537518  9766678      123
  480 1.00209229 0.27514272  9768187      119
  490 1.00204286 0.27529880  9768917      121
  500 1.00200500 0.27534587  9768567      127
  510 1.00196392 0.27520960  9766725      119
  520 1.00192673 0.27520730  9768063      121
  530 1.00188698 0.27524715  9766516      118
  540 1.00184463 0.27520909  9768672      120
  550 1.00181109 0.27503191  9767878      119
  560 1.00177500 0.27504782  9767586      120
  570 1.00174702 0.27510215  9768090      116
  580 1.00171224 0.27504846  9766896      122
  590 1.00168542 0.27500764  9768059      121
  600 1.00166217 0.27512365  9768823      121
  610 1.00163410 0.27523208  9767949      120
  620 1.00160839 0.27520863  9767755      117
  630 1.00158048 0.27541468  9767854      118
  640 1.00155453 0.27529853  9767608      115
  650 1.00153554 0.27534503  9767659      120
  660 1.00151379 0.27532488  9768767      120
  670 1.00148896 0.27544357  9768439      124
  680 1.00146176 0.27536030  9767797      120
  690 1.00144029 0.27553602  9768237      120
  700 1.00141757 0.27538614  9768176      120
  710 1.00139930 0.27538460  9768640      122
  720 1.00138264 0.27537362  9767248      121
  730 1.00136479 0.27533694  9767184      119
  740 1.00135122 0.27528078  9767832      117
  750 1.00133733 0.27519947  9767354      118
  760 1.00132434 0.27517765  9767490      119
  770 1.00130870 0.27516303  9768254      120
  780 1.00129051 0.27525871  9768912      121
  790 1.00127329 0.27527264  9768747      120
  800 1.00126012 0.27535802  9767971      121
  810 1.00124519 0.27541644  9767214      122
  820 1.00123220 0.27542567  9767532      118
  830 1.00121964 0.27535890  9767222      116
  840 1.00120702 0.27534685  9767539      120
  850 1.00119224 0.27546244  9766477      122
  860 1.00117965 0.27538801  9768460      119
  870 1.00116667 0.27556264  9767415      117
  880 1.00115011 0.27552534  9767696      121
  890 1.00113348 0.27540723  9767408      117
  900 1.00112078 0.27539173  9767644      119
  910 1.00111099 0.27539831  9768007      125
  920 1.00109641 0.27548447  9767775      119
  930 1.00108290 0.27545150  9767009      120
  940 1.00107298 0.27539014  9768327      124
  950 1.00105589 0.27534426  9768291      128
  960 1.00104479 0.27540907  9767820      119
  970 1.00103526 0.27544166  9768254      132
  980 1.00102827 0.27539141  9768338      120
  990 1.00101949 0.27538407  9768096      121
 1000 1.00100950 0.27542044  9767737      119
 1010 1.00099941 0.27546582  9767749      118
 1020 1.00098941 0.27550783  9768200      124
