#cycle        mu      sigmatransactionsmax interactions
   10 1.10029500 0.98624691  9800462       45
   20 1.05023000 0.98217870  9804808       44
   30 1.03359667 0.98058693  9799332       45
   40 1.02533000 0.98453764  9791896       41
   50 1.02030600 0.99549027  9800587       45
   60 1.01698583 0.99596190  9807694       42
   70 1.01460857 1.00305023  9810253       44
   80 1.01280750 1.00167522  9806365       43
   90 1.01138722 1.00561683  9798630       46
  100 1.01027800 1.00413561  9801395       43
  110 1.00936682 1.00442108  9795322       45
  120 1.00860417 1.00567434  9799931       43
  130 1.00794962 1.00630850  9797370       45
  140 1.00739964 1.00422810  9789639       44
  150 1.00691900 1.00365423  9794067       42
  160 1.00649375 1.00346802  9804712       44
  170 1.00611382 1.00484009  9800395       45
  180 1.00578417 1.00607879  9804141       42
  190 1.00550632 1.00620776  9804462       45
  200 1.00523375 1.00671371  9808515       46
  210 1.00499476 1.00563220  9812332       43
  220 1.00477341 1.00585053  9801137       42
  230 1.00458587 1.00443473  9801511       45
  240 1.00441042 1.00276621  9797151       44
  250 1.00424320 1.00361614  9802607       44
  260 1.00409365 1.00355651  9807926       46
  270 1.00394370 1.00406043  9803081       43
  280 1.00380625 1.00375287  9799843       44
  290 1.00368293 1.00422378  9799410       44
  300 1.00356867 1.00344768  9807167       45
  310 1.00346177 1.00343977  9800653       43
  320 1.00335688 1.00320528  9796438       47
  330 1.00326318 1.00311355  9801068       44
  340 1.00316926 1.00258840  9795706       45
  350 1.00308629 1.00234093  9797599       42
  360 1.00301222 1.00300551  9811470       44
  370 1.00293851 1.00259030  9799905       43
  380 1.00286355 1.00286729  9803168       43
  390 1.00279090 1.00312386  9798617       44
  400 1.00272738 1.00289905  9799870       43
  410 1.00266951 1.00242217  9799559       45
  420 1.00261821 1.00239779  9802050       44
  430 1.00256233 1.00260346  9813604       42
  440 1.00250864 1.00318377  9803683       44
  450 1.00245022 1.00256673  9801131       44
  460 1.00240065 1.00290731  9795689       42
  470 1.00235287 1.00295611  9801231       44
  480 1.00230667 1.00315003  9797719       44
  490 1.00226612 1.00282500  9801743       44
  500 1.00222300 1.00256825  9800329       44
  510 1.00218559 1.00221957  9804090       47
  520 1.00214596 1.00227539  9807197       43
  530 1.00210623 1.01855386  9802031       42
  540 1.00206972 1.01797111  9795921       42
  550 1.00203336 1.01758874  9802675       46
  560 1.00199929 1.01686806  9816999       44
  570 1.00196754 1.01667074  9794539       44
  580 1.00193448 1.01652852  9796544       46
  590 1.00190508 1.01602650  9804621       44
  600 1.00187517 1.01528778  9795699       45
  610 1.00184861 1.01497891  9809035       47
  620 1.00181839 1.01482801  9804364       43
  630 1.00179325 1.01452060  9800936       43
  640 1.00176852 1.01461091  9805863       43
  650 1.00174308 1.01400767  9805222       45
  660 1.00171750 1.01387558  9797807       43
  670 1.00169336 1.01368686  9802364       43
  680 1.00167191 1.01344051  9810054       43
  690 1.00165341 1.01320461  9802093       44
  700 1.00163457 1.01299729  9806588       45
  710 1.00161070 1.01299624  9801893       46
  720 1.00159424 1.01300325  9801937       44
  730 1.00157466 1.01284836  9801784       44
  740 1.00155655 1.01244962  9812437       43
  750 1.00153753 1.01210879  9804812       48
  760 1.00152033 1.01193066  9804520       44
  770 1.00150377 1.01180626  9805921       45
  780 1.00148673 1.01131748  9801948       46
  790 1.00146873 1.01090921  9799900       46
  800 1.00145131 1.01061885  9802916       46
  810 1.00143426 1.01025491  9795193       44
  820 1.00141732 1.01042778  9799491       43
  830 1.00139988 1.01040132  9803437       43
  840 1.00138554 1.00993329  9798754       43
  850 1.00137124 1.00975090  9804837       46
  860 1.00135581 1.00974846  9808424       43
  870 1.00134328 1.00918355  9801473       46
  880 1.00132915 1.00953479  9799233       43
  890 1.00131657 1.00970654  9803605       45
  900 1.00130422 1.00969512  9799527       43
  910 1.00129231 1.00969787  9803721       42
  920 1.00128071 1.00989555  9808940       44
  930 1.00126935 1.00978604  9803619       44
  940 1.00125734 1.00985206  9803896       44
  950 1.00124511 1.00985725  9798796       43
  960 1.00123495 1.00976829  9793862       42
  970 1.00122371 1.00977306  9797578       42
  980 1.00121224 1.00964988  9810748       43
  990 1.00120444 1.00977210  9801286       43
 1000 1.00119290 1.00962068  9812918       46
 1010 1.00118277 1.00952890  9798776       45
 1020 1.00117186 1.00916534  9807364       43
 1030 1.00116364 1.00924060  9798985       43
 1040 1.00115471 1.00929396  9803108       45
 1050 1.00114581 1.00923010  9801757       43
 1060 1.00113580 1.00887820  9801882       44
 1070 1.00112607 1.00879684  9799800       43
 1080 1.00111736 1.00853289  9802066       47
 1090 1.00111060 1.00844599  9798861       44
 1100 1.00110186 1.00839309  9801281       44
 1110 1.00109450 1.00827030  9809312       44
 1120 1.00108728 1.00801605  9793470       44
 1130 1.00108044 1.00782072  9802477       44
 1140 1.00107338 1.00800954  9798088       51
 1150 1.00106761 1.00806654  9803895       43
 1160 1.00106125 1.00779713  9807596       44
 1170 1.00105333 1.00758543  9802559       46
 1180 1.00104665 1.00739829  9800628       45
 1190 1.00103882 1.00691200  9804046       43
 1200 1.00103367 1.00681359  9801024       45
 1210 1.00102707 1.00680660  9798853       45
 1220 1.00102057 1.00652324  9799580       43
 1230 1.00101220 1.00640901  9801774       45
 1240 1.00100456 1.00656847  9797443       43
 1250 1.00099792 1.00639699  9804482       43
 1260 1.00099190 1.00635151  9810127       44
 1270 1.00098587 1.00594569  9801094       44
 1280 1.00097871 1.00575558  9806878       45
 1290 1.00097136 1.00581576  9804116       43
 1300 1.00096496 1.00563162  9797875       50
 1310 1.00095836 1.00561663  9801533       47
 1320 1.00095288 1.00554583  9797663       44
 1330 1.00094929 1.00534676  9809535       43
 1340 1.00094515 1.00561546  9800391       43
 1350 1.00093963 1.00543581  9801805       45
 1360 1.00093449 1.00568698  9795390       43
 1370 1.00092828 1.00577984  9806269       43
 1380 1.00092290 1.00559528  9802736       43
 1390 1.00091619 1.00547248  9797730       45
 1400 1.00091036 1.00516038  9795295       42
 1410 1.00090457 1.00494685  9814040       46
 1420 1.00089817 1.00493133  9807024       48
 1430 1.00089483 1.00470115  9802042       44
 1440 1.00089156 1.00457359  9805426       45
 1450 1.00088766 1.00434863  9807990       43
 1460 1.00088452 1.00427252  9808099       45
 1470 1.00087932 1.00448573  9794505       45
 1480 1.00087541 1.00437833  9807623       44
 1490 1.00087007 1.00413668  9797555       43
 1500 1.00086533 1.00447699  9802804       43
 1510 1.00086139 1.00444772  9811869       43
 1520 1.00085612 1.00451185  9806055       42
 1530 1.00085232 1.00458446  9793901       41
 1540 1.00084834 1.00482192  9801545       47
 1550 1.00084613 1.00488281  9800056       45
 1560 1.00084170 1.00472552  9805307       47
 1570 1.00083793 1.00473908  9800117       45
 1580 1.00083370 1.00449315  9797851       42
 1590 1.00082947 1.00432773  9804102       43
 1600 1.00082500 1.00640860  9802655       44
 1610 1.00082090 1.00640304  9794903       43
 1620 1.00081716 1.00626601  9806450       42
 1630 1.00081276 1.00633564  9800162       47
 1640 1.00080802 1.00637727  9799555       43
 1650 1.00080379 1.00636919  9797412       45
 1660 1.00080148 1.00609257  9803389       43
 1670 1.00079740 1.00602665  9806063       44
 1680 1.00079491 1.00593217  9797949       44
 1690 1.00079018 1.00599872  9801401       44
 1700 1.00078800 1.00593784  9800712       43
 1710 1.00078421 1.00615789  9803023       44
 1720 1.00078224 1.00607202  9798668       43
 1730 1.00077821 1.00608832  9803070       43
 1740 1.00077601 1.00608453  9795593       45
 1750 1.00077277 1.00607936  9798104       46
 1760 1.00076935 1.00606575  9800180       43
 1770 1.00076726 1.00601027  9808437       44
 1780 1.00076315 1.00589000  9796669       43
 1790 1.00076028 1.00607409  9802406       44
 1800 1.00075586 1.00615370  9799672       43
 1810 1.00075301 1.00595338  9795259       45
 1820 1.00074920 1.00598305  9804034       43
 1830 1.00074519 1.00591961  9804162       48
 1840 1.00074323 1.00582716  9795438       43
 1850 1.00074081 1.00571910  9803950       45
 1860 1.00073831 1.00579164  9807704       45
 1870 1.00073535 1.00554850  9805706       43
 1880 1.00073242 1.00526241  9799140       41
 1890 1.00072929 1.00527229  9803616       42
 1900 1.00072597 1.00510626  9804673       48
 1910 1.00072419 1.00518989  9791676       45
 1920 1.00072216 1.00523088  9796451       42
 1930 1.00071984 1.00534676  9796201       44
 1940 1.00071696 1.00530313  9802342       42
 1950 1.00071354 1.00509174  9799379       43
 1960 1.00071125 1.00502809  9803336       44
 1970 1.00070904 1.00500031  9807666       43
 1980 1.00070699 1.00489464  9807350       44
 1990 1.00070460 1.00480813  9804984       43
