#cycle        mu      sigmatransactionsmax interactions
   10 1.10017000 2.29681147  8257089       37
   20 1.05019500 2.22490696  8258663       39
   30 1.03362667 2.20743691  8258603       37
   40 1.02535625 2.17209419  8259060       41
   50 1.02039800 2.14284982  8258553       38
   60 1.01708000 2.16061911  8255997       37
   70 1.01471929 2.14166949  8256260       40
   80 1.01293000 2.13258963  8256838       39
   90 1.01152389 2.14007159  8259745       38
  100 1.01039200 2.14526611  8256829       39
  110 1.00948591 2.14078865  8256969       38
  120 1.00872750 2.14287146  8257539       38
  130 1.00808692 2.14354795  8256268       42
  140 1.00752607 2.13489732  8256433       39
  150 1.00706433 2.13609010  8259364       40
  160 1.00663188 2.13308561  8256869       40
  170 1.00624471 2.13473577  8255971       39
  180 1.00592111 2.13291036  8256610       41
  190 1.00563263 2.13336164  8259820       39
  200 1.00536200 2.13666560  8254790       39
  210 1.00511476 2.13492927  8256336       38
  220 1.00488886 2.13316780  8254990       37
  230 1.00468000 2.13894562  8256941       39
  240 1.00449792 2.13959737  8257643       38
  250 1.00433480 2.14307477  8257955       38
  260 1.00417712 2.14119576  8255468       39
  270 1.00403963 2.13843924  8260186       39
  280 1.00390982 2.13816059  8257106       40
  290 1.00378655 2.13855752  8256279       37
  300 1.00366983 2.13756297  8260015       41
  310 1.00355613 2.13759577  8259413       41
  320 1.00345844 2.13311762  8254697       40
  330 1.00336197 2.13218645  8255129       41
  340 1.00327235 2.13452398  8255993       40
  350 1.00318200 2.13668393  8255164       39
  360 1.00309792 2.13530108  8257049       37
  370 1.00302230 2.13483862  8259035       37
  380 1.00295447 2.13234455  8257648       40
  390 1.00288474 2.13392110  8255168       38
  400 1.00281838 2.13272079  8258664       39
  410 1.00275512 2.13442108  8255657       38
  420 1.00269500 2.13420981  8258172       39
  430 1.00263953 2.13491649  8257819       38
  440 1.00259341 2.13212087  8259273       39
  450 1.00254122 2.13321038  8257418       41
  460 1.00248804 2.13203243  8257551       39
  470 1.00243745 2.13214332  8262208       39
  480 1.00239240 2.13349182  8256085       39
  490 1.00235010 2.13405509  8260068       38
  500 1.00230870 2.13370009  8258478       37
  510 1.00226824 2.13464136  8256214       39
  520 1.00222923 2.13588376  8255688       40
  530 1.00219764 2.13786589  8254351       38
  540 1.00216417 2.13607841  8257376       38
  550 1.00213182 2.13544759  8258753       39
  560 1.00209679 2.13529181  8255427       39
  570 1.00206939 2.13575969  8259479       40
  580 1.00203810 2.13517623  8259459       37
  590 1.00200975 2.13558605  8259183       37
  600 1.00197775 2.13362471  8259250       40
  610 1.00194869 2.13576354  8258289       38
  620 1.00192097 2.13627947  8258456       38
