#cycle        mu      sigmatransactionsmax interactions
   10 1.10013500 0.24053748  9502837       43
   20 1.05017750 0.27889472  9505259       43
   30 1.03345833 0.28967371  9503785       41
   40 1.02505875 0.29543143  9503786       44
   50 1.02004100 0.29974186  9505153       41
   60 1.01672583 0.30421791  9504449       46
   70 1.01435643 0.30593818  9503989       46
   80 1.01258437 0.30642457  9502238       40
   90 1.01118222 0.30769890  9504333       43
  100 1.01009200 0.30811040  9506120       42
  110 1.00919182 0.30934124  9502375       41
  120 1.00841042 0.30989643  9503121       46
  130 1.00776692 0.31001856  9503370       43
  140 1.00721464 0.31054491  9504979       43
  150 1.00674100 0.31070736  9502315       43
  160 1.00632813 0.31089667  9503797       42
  170 1.00595882 0.31181476  9502417       41
  180 1.00563556 0.31241641  9503010       40
  190 1.00534763 0.31272672  9503377       42
  200 1.00508375 0.31313688  9502696       44
  210 1.00485048 0.31315033  9505009       42
  220 1.00463614 0.31320848  9505057       42
  230 1.00444217 0.31360318  9503678       44
  240 1.00426250 0.31336354  9504856       41
  250 1.00409580 0.31339688  9501859       43
  260 1.00393962 0.31352790  9503652       44
  270 1.00380259 0.31371239  9502477       43
  280 1.00366911 0.31356493  9503139       43
  290 1.00354345 0.31376041  9503954       41
  300 1.00342467 0.31349075  9503354       43
  310 1.00331000 0.31363211  9503193       42
  320 1.00319938 0.31372995  9505312       42
  330 1.00310500 0.31386618  9503095       45
  340 1.00301412 0.31380797  9502919       41
  350 1.00293043 0.31422838  9503238       44
  360 1.00286000 0.31426315  9503095       42
  370 1.00278622 0.31427410  9505348       44
  380 1.00271342 0.31452069  9503199       45
  390 1.00264410 0.31450602  9501746       43
  400 1.00258313 0.31460979  9503870       43
  410 1.00252110 0.31454714  9501460       41
  420 1.00246167 0.31440871  9502175       42
  430 1.00240081 0.31450642  9501860       41
  440 1.00234739 0.31459827  9502439       43
  450 1.00229889 0.31457713  9502385       41
  460 1.00224707 0.31448615  9501403       42
  470 1.00219915 0.31452217  9504067       43
  480 1.00215448 0.31467321  9503268       41
  490 1.00211010 0.31472351  9502253       45
  500 1.00206770 0.31471331  9503586       41
  510 1.00202882 0.31468720  9503617       42
  520 1.00198894 0.31462322  9505350       46
  530 1.00194406 0.31463855  9504217       42
  540 1.00190352 0.31474802  9502962       45
  550 1.00186545 0.31470100  9503273       49
  560 1.00183545 0.31466417  9504835       44
  570 1.00180158 0.31461074  9502372       42
  580 1.00177216 0.31462678  9501810       42
  590 1.00174441 0.31465476  9504361       43
