#cycle        mu      sigmatransactionsmax interactions
   10 1.10010500 1.41900399  8986962       40
   20 1.05023500 1.43898544  8989142       40
   30 1.03358000 1.41916438  8985913       39
   40 1.02531625 1.40482809  8985972       41
   50 1.02030400 1.39768305  8987469       41
   60 1.01697833 1.38905282  8987254       40
   70 1.01456357 1.38947369  8988035       40
   80 1.01278063 1.38451603  8987162       44
   90 1.01141167 1.38021305  8986046       41
  100 1.01029100 1.37696305  8986748       43
  110 1.00936864 1.37478827  8988007       41
  120 1.00861750 1.37695607  8989469       39
  130 1.00797269 1.37345282  8988199       41
  140 1.00742786 1.37867343  8987798       41
  150 1.00693367 1.37935282  8986198       44
  160 1.00653094 1.37879494  8988024       40
  170 1.00616765 1.37582081  8986693       39
  180 1.00583778 1.37607486  8987609       40
  190 1.00554026 1.37570409  8987746       44
  200 1.00527875 1.37589671  8989004       42
  210 1.00503452 1.37513377  8986720       40
  220 1.00480341 1.37371454  8988496       40
  230 1.00460783 1.37486022  8987454       42
  240 1.00441542 1.37714182  8987216       42
  250 1.00425400 1.37497626  8985977       41
  260 1.00410404 1.37465995  8987766       41
  270 1.00395889 1.37483922  8989060       42
  280 1.00382286 1.37238205  8986358       39
  290 1.00370155 1.37091214  8988257       40
  300 1.00359267 1.37150284  8987199       45
  310 1.00348516 1.37152550  8987068       42
  320 1.00338313 1.36990309  8986505       41
  330 1.00329121 1.37127640  8989177       39
  340 1.00319441 1.36941271  8989739       39
  350 1.00310971 1.37040219  8988699       40
  360 1.00302375 1.36958359  8988164       40
  370 1.00294851 1.37000263  8989395       41
  380 1.00288118 1.37098473  8986113       41
  390 1.00281385 1.37046783  8988278       41
  400 1.00275125 1.37050164  8987648       39
  410 1.00268890 1.37102194  8989203       45
  420 1.00262833 1.37212553  8987495       40
  430 1.00257314 1.37162255  8986440       42
  440 1.00252318 1.37297119  8989629       41
  450 1.00247144 1.37281571  8985899       41
  460 1.00242120 1.37202226  8985811       41
  470 1.00237691 1.37056986  8987118       41
  480 1.00233188 1.37152460  8984760       43
  490 1.00229204 1.37181050  8986955       41
  500 1.00225610 1.37150929  8988607       42
  510 1.00221804 1.37162369  8985125       42
  520 1.00218337 1.37159332  8988810       41
  530 1.00214538 1.37136449  8987638       40
  540 1.00210898 1.37064638  8986977       42
  550 1.00207355 1.37067165  8988355       41
  560 1.00203893 1.37083897  8984994       41
  570 1.00200360 1.37077814  8986272       42
  580 1.00197664 1.37073197  8987628       39
  590 1.00194839 1.37033199  8990204       42
  600 1.00191983 1.37104619  8988007       41
  610 1.00189311 1.37042991  8988772       41
  620 1.00186685 1.37013595  8987851       42
  630 1.00184008 1.36970035  8987422       44
  640 1.00181461 1.36962861  8988412       40
  650 1.00179331 1.36880783  8988034       41
  660 1.00177371 1.36904979  8985981       48
  670 1.00174724 1.37032495  8988252       41
  680 1.00172640 1.37047214  8988581       40
  690 1.00170384 1.37087483  8988989       40
  700 1.00168250 1.37034580  8988131       40
  710 1.00165958 1.36981415  8987871       43
  720 1.00164271 1.36915289  8989984       41
  730 1.00162336 1.36881912  8988502       42
  740 1.00160297 1.36876980  8987635       42
  750 1.00158473 1.36955868  8988032       43
  760 1.00156664 1.36974242  8990424       41
  770 1.00154890 1.36956635  8988041       41
  780 1.00153250 1.36947368  8988000       41
