#cycle        mu      sigmatransactionsmax interactions
   10 1.10008500 0.16320649  9958194       44
   20 1.04994500 0.21007025  9958532       46
   30 1.03326333 0.22369472  9958699       43
   40 1.02495125 0.23179831  9958348       47
   50 1.01993800 0.23581728  9958354       43
   60 1.01660750 0.23841152  9958558       42
   70 1.01425429 0.23985710  9959111       44
   80 1.01243250 0.24112075  9958636       49
   90 1.01106000 0.24204551  9958624       46
  100 1.00997900 0.24248792  9958336       43
  110 1.00907182 0.24260661  9958815       44
  120 1.00827458 0.24336991  9958481       43
  130 1.00764192 0.24365241  9958432       45
  140 1.00708000 0.24398323  9958218       44
  150 1.00659433 0.24440678  9958864       44
  160 1.00616562 0.24480617  9958788       42
  170 1.00581294 0.24478274  9959346       42
  180 1.00550139 0.24504635  9958594       46
  190 1.00522316 0.24499024  9958469       43
  200 1.00496075 0.24509354  9957972       43
  210 1.00472286 0.24538408  9958366       43
  220 1.00450045 0.24543575  9958441       46
  230 1.00430130 0.24573222  9958767       45
  240 1.00413000 0.24598113  9958736       43
  250 1.00396660 0.24610081  9958957       44
  260 1.00380288 0.24603933  9958511       44
  270 1.00365833 0.24633451  9958676       45
  280 1.00353000 0.24631027  9958524       44
  290 1.00340759 0.24650484  9958734       44
  300 1.00329967 0.24655596  9958554       45
  310 1.00319468 0.24666999  9958849       44
  320 1.00309516 0.24676117  9958934       48
  330 1.00300818 0.24664607  9958591       44
  340 1.00291529 0.24667538  9958845       44
  350 1.00283029 0.24660770  9958814       44
  360 1.00275819 0.24656414  9959431       44
  370 1.00267905 0.24663700  9959063       48
  380 1.00261158 0.24670671  9958132       44
  390 1.00254064 0.24670789  9958254       45
  400 1.00246925 0.24663160  9958638       43
  410 1.00241085 0.24657558  9959082       43
  420 1.00234881 0.24671446  9958555       42
  430 1.00229686 0.24679783  9958630       45
  440 1.00224284 0.24681361  9958676       44
  450 1.00218811 0.24689013  9958868       43
  460 1.00213880 0.24695657  9959249       44
  470 1.00209128 0.24701520  9958492       44
  480 1.00204708 0.24705244  9959001       45
  490 1.00200439 0.24706384  9958031       48
  500 1.00196490 0.24700386  9959067       44
  510 1.00192716 0.24706026  9958741       49
  520 1.00188423 0.24700232  9958629       42
  530 1.00184858 0.24712472  9959110       43
  540 1.00181370 0.24716915  9958334       46
  550 1.00177909 0.24730002  9958404       44
  560 1.00174893 0.24730021  9958570       43
  570 1.00171474 0.24737876  9958298       45
  580 1.00168112 0.24739937  9958963       43
  590 1.00165042 0.24746720  9958533       44
  600 1.00162183 0.24739989  9958770       49
  610 1.00159984 0.24742518  9958867       47
  620 1.00157435 0.24742226  9958624       42
  630 1.00155373 0.24751328  9959032       46
  640 1.00153234 0.24761443  9958422       44
  650 1.00150846 0.24766376  9958088       43
  660 1.00148583 0.24774821  9958593       45
  670 1.00146366 0.24770731  9958352       42
  680 1.00144132 0.24781178  9958694       43
  690 1.00141920 0.24781317  9958415       42
  700 1.00140057 0.24782840  9958249       44
  710 1.00137944 0.24783653  9958766       44
  720 1.00136146 0.24786371  9958725       44
  730 1.00134582 0.24791379  9959001       44
  740 1.00132703 0.24789892  9958914       45
  750 1.00130980 0.24797152  9958682       45
  760 1.00129461 0.24801340  9958487       47
  770 1.00127747 0.24802964  9958775       42
  780 1.00125699 0.24809945  9958742       45
  790 1.00123880 0.24813320  9959113       44
  800 1.00122412 0.24809080  9958854       45
  810 1.00120969 0.24821917  9958713       44
  820 1.00119384 0.24826470  9958917       49
  830 1.00117964 0.24831457  9958811       45
  840 1.00116310 0.24829999  9959019       44
  850 1.00115018 0.24831591  9958214       44
  860 1.00113762 0.24837254  9958367       47
  870 1.00112420 0.24841251  9959031       43
  880 1.00111057 0.24846730  9958729       44
  890 1.00109697 0.24847184  9959240       42
  900 1.00108211 0.24844403  9958504       43
  910 1.00107159 0.24840028  9958291       44
  920 1.00106207 0.24847055  9957797       44
  930 1.00104925 0.24851975  9959178       44
  940 1.00104043 0.24854853  9958315       43
  950 1.00102968 0.24858714  9958511       44
  960 1.00101812 0.24857882  9957911       42
  970 1.00100603 0.24859271  9958592       45
  980 1.00099495 0.24859978  9958755       44
  990 1.00098470 0.24858846  9958177       43
 1000 1.00097590 0.24858886  9958607       44
 1010 1.00096579 0.24861534  9958744       46
 1020 1.00095578 0.24865995  9958899       42
 1030 1.00094772 0.24874902  9958569       43
 1040 1.00094038 0.24876739  9958741       44
 1050 1.00093205 0.24879977  9958719       43
 1060 1.00092302 0.24879013  9958354       46
 1070 1.00091565 0.24883852  9959212       51
 1080 1.00090685 0.24888080  9958682       44
 1090 1.00089748 0.24894148  9958789       42
 1100 1.00089109 0.24902925  9958420       44
 1110 1.00088149 0.24901137  9958853       45
 1120 1.00087549 0.24909079  9959193       44
 1130 1.00086881 0.24910558  9958926       44
 1140 1.00086110 0.24911659  9958597       42
 1150 1.00085278 0.24907242  9959004       43
 1160 1.00084453 0.24913773  9958368       43
 1170 1.00083799 0.24919756  9958671       46
 1180 1.00083068 0.24914878  9959041       43
 1190 1.00082277 0.24915850  9958600       44
 1200 1.00081613 0.24916772  9958948       48
 1210 1.00080955 0.24918064  9958715       44
 1220 1.00079971 0.24924166  9958661       49
 1230 1.00079244 0.24924307  9959312       42
 1240 1.00078766 0.24923718  9958396       45
 1250 1.00077980 0.24922087  9958444       41
 1260 1.00077310 0.24924747  9958571       46
 1270 1.00076701 0.24928249  9958936       43
 1280 1.00076336 0.24933811  9958466       46
 1290 1.00075946 0.24930807  9958585       47
 1300 1.00075308 0.24930111  9958117       45
 1310 1.00074973 0.24932812  9958762       45
 1320 1.00074337 0.24938029  9958637       44
 1330 1.00073711 0.24941337  9958561       43
 1340 1.00073060 0.24943426  9958607       44
 1350 1.00072337 0.24941682  9958744       46
 1360 1.00071776 0.24950391  9958374       43
 1370 1.00071193 0.24952041  9958845       45
 1380 1.00070982 0.24954258  9959331       43
 1390 1.00070576 0.24951556  9958658       43
 1400 1.00070025 0.24952187  9958533       45
 1410 1.00069511 0.24955856  9958634       43
 1420 1.00069004 0.24957011  9958964       43
 1430 1.00068535 0.24960229  9958485       43
 1440 1.00067983 0.24963140  9958324       44
 1450 1.00067469 0.24961940  9958973       45
 1460 1.00066839 0.24961619  9959056       45
 1470 1.00066425 0.24958761  9958982       44
 1480 1.00065963 0.24958327  9958588       45
 1490 1.00065483 0.24961286  9958668       44
 1500 1.00065130 0.24964220  9959005       44
 1510 1.00064583 0.24965529  9958198       45
 1520 1.00063947 0.24965701  9958509       44
 1530 1.00063510 0.24961787  9958654       44
 1540 1.00063201 0.24961268  9958423       45
 1550 1.00062748 0.24963544  9958383       47
 1560 1.00062426 0.24967177  9958514       44
 1570 1.00062099 0.24968299  9958811       44
 1580 1.00061820 0.24969678  9959114       43
 1590 1.00061472 0.24972286  9958391       44
 1600 1.00061138 0.24972841  9957853       43
 1610 1.00060714 0.24975709  9959026       44
 1620 1.00060253 0.24978028  9958772       43
 1630 1.00059730 0.24977373  9958349       45
 1640 1.00059323 0.24978802  9958602       45
 1650 1.00058961 0.24981478  9958401       44
 1660 1.00058687 0.24979581  9958483       44
 1670 1.00058335 0.24982145  9958746       47
 1680 1.00057976 0.24983938  9958760       53
 1690 1.00057722 0.24984313  9958628       43
 1700 1.00057262 0.24982165  9958492       43
 1710 1.00057058 0.24979618  9958907       45
 1720 1.00056616 0.24981116  9957947       44
 1730 1.00056277 0.24977406  9958941       42
 1740 1.00055948 0.24979001  9958704       44
 1750 1.00055800 0.24975284  9958936       42
 1760 1.00055472 0.24970498  9958420       43
 1770 1.00055195 0.24966793  9958610       43
 1780 1.00054927 0.24969904  9958786       47
 1790 1.00054486 0.24968664  9958938       45
 1800 1.00054317 0.24969152  9958701       43
 1810 1.00053989 0.24972158  9958275       43
 1820 1.00053596 0.24971368  9958893       48
 1830 1.00053317 0.24970013  9958716       43
 1840 1.00053065 0.24971710  9958374       44
 1850 1.00052749 0.24971570  9959386       44
 1860 1.00052452 0.24973893  9958777       43
