#cycle        mu      sigmatransactionsmax interactions
   10 1.10064000 4.36219209  8046243      100
   20 1.05043000 4.19365607  8037232      104
   30 1.03382667 4.17077526  8025692      101
   40 1.02547000 4.24377965  8031854      103
   50 1.02044200 4.31070362  8032776      101
   60 1.01709333 4.30652140  8041244      106
   70 1.01473571 4.36248507  8035409      105
   80 1.01296125 4.37989982  8040968      103
   90 1.01155000 4.42058788  8030030      101
  100 1.01044100 4.45021434  8033119      101
  110 1.00950727 4.40203411  8037085      101
  120 1.00872833 4.41768619  8021826      100
  130 1.00809692 4.42037309  8046496      102
  140 1.00752714 4.40032809  8040342      102
  150 1.00703733 4.39640104  8042380      102
  160 1.00661625 4.41660088  8049082       99
  170 1.00624941 4.40864227  8030379      105
  180 1.00590778 4.43527118  8030548      106
  190 1.00561632 4.42752017  8053433      101
  200 1.00536100 4.43543073  8039237      104
  210 1.00511381 4.43907792  8033701      105
  220 1.00489182 4.43482168  8018563      102
  230 1.00470478 4.43159963  8027803      101
  240 1.00450917 4.40286073  8029727      107
  250 1.00434680 4.40723197  8025482      103
  260 1.00419577 4.40896522  8038033      102
  270 1.00405741 4.40793352  8040481      103
  280 1.00392964 4.41630690  8038633      102
  290 1.00380138 4.42135595  8024086      106
  300 1.00369300 4.41892055  8031240      106
  310 1.00358677 4.42428318  8031680      103
  320 1.00348563 4.41737262  8029872      101
  330 1.00339394 4.42192310  8027057      104
  340 1.00331265 4.42299572  8032055      106
  350 1.00321686 4.42396444  8025680      103
  360 1.00314472 4.43567874  8027096      103
  370 1.00307865 4.44052572  8035561      110
  380 1.00301053 4.43060421  8025205      101
  390 1.00293538 4.43521206  8034683      102
  400 1.00286950 4.42611948  8035600      103
  410 1.00280951 4.43206736  8024050      101
  420 1.00275000 4.43645157  8017867      101
  430 1.00270233 4.44534143  8027088      101
  440 1.00265364 4.44623640  8025313       99
  450 1.00260956 4.44439678  8032943      107
  460 1.00256239 4.45326995  8044614      106
  470 1.00251766 4.44709123  8041271      103
  480 1.00247438 4.44785903  8034352      106
  490 1.00243388 4.44528227  8020367      101
  500 1.00239100 4.44742361  8027798       99
  510 1.00235824 4.43979125  8027589      102
  520 1.00232058 4.43532087  8046441      102
  530 1.00228415 4.43517234  8019397       99
  540 1.00224815 4.44759344  8051868      104
  550 1.00221636 4.44440444  8019683      101
  560 1.00218911 4.43796381  8030334      107
  570 1.00215474 4.43900747  8043596      104
  580 1.00212431 4.43969200  8036471      101
  590 1.00209373 4.43999132  8036494      106
  600 1.00206433 4.44209416  8032930      109
  610 1.00204016 4.44238212  8034028      100
  620 1.00201871 4.44223705  8029474      100
  630 1.00199048 4.44513290  8050002      104
  640 1.00196922 4.44033458  8041490      103
  650 1.00194815 4.43729869  8036590      105
